population,calibration,comparison,difference,relative_reduction,block_days,low95,high95,family4_low,family4_high,primary
outer,raw,C_minus_B_onset,0.00022632804130818775,-0.018597790717320935,3,9.301502512019102e-05,0.0003237132895070977,6.784348639625322e-05,0.00035508983463127506,True
outer,raw,C_minus_B_onset,0.00022632804130818775,-0.018597790717320935,1,0.0001228052891336057,0.00034372087822930823,0.0001013073930842018,0.0003920549198854687,True
outer,raw,D_minus_C_onset,0.00013651862690176116,-0.01101316568509502,3,-8.32916520636072e-06,0.0002308375160320464,-4.2822410074726635e-05,0.0002625620379841387,True
outer,raw,D_minus_C_onset,0.00013651862690176116,-0.01101316568509502,1,1.1555478144446764e-05,0.0002496814210431452,-2.9772680217783727e-05,0.0002874377227150228,True
outer,raw,E_minus_D_onset,-0.000250002472859449,0.01994838561078961,3,-0.00038559512426450924,-5.679440350848658e-05,-0.000429481772694636,-1.3597527068605756e-05,True
outer,raw,E_minus_D_onset,-0.000250002472859449,0.01994838561078961,1,-0.000395851792087496,-9.232394659366721e-05,-0.00042764927903631255,-4.5655372910656574e-05,True
outer,raw,E_minus_B_onset,0.00011284419535049997,-0.009272614726229934,3,-4.452232365255351e-06,0.00018606820134852095,-2.4794944678309275e-05,0.00020817876716372805,True
outer,raw,E_minus_B_onset,0.00011284419535049997,-0.009272614726229934,1,1.7700636388969143e-06,0.00022877700922641737,-2.3364787447309875e-05,0.0002656179359028359,True
outer,raw,R_union_minus_A_G_onset,-0.0019393626909305572,0.13748007074397195,3,-0.002875171273608494,-0.0008172519326382656,,,False
outer,raw,R_union_minus_A_G_onset,-0.0019393626909305572,0.13748007074397195,1,-0.00324623419397942,-0.0007592883522602988,,,False
outer,raw,A_mono_minus_A_G_onset,-0.0005054083736440601,0.035828047681912015,3,-0.0009683012045897039,-0.00012489898376822739,,,False
outer,raw,A_mono_minus_A_G_onset,-0.0005054083736440601,0.035828047681912015,1,-0.0009358160615399693,-0.00010754091728257464,,,False
outer,raw,B_minus_A_G_onset,-0.001936880776097257,0.13730412952964505,3,-0.0026349235756620427,-0.0009674645545831363,,,False
outer,raw,B_minus_A_G_onset,-0.001936880776097257,0.13730412952964505,1,-0.0027378085458130566,-0.0011649299537504615,,,False
outer,raw,K_minus_A_G_onset,-0.0009428441457392604,0.06683756497067454,3,-0.0013272558174208305,-0.00048433414069810454,,,False
outer,raw,K_minus_A_G_onset,-0.0009428441457392604,0.06683756497067454,1,-0.0013776642311356462,-0.0005585106095893345,,,False
outer,raw,C_minus_A_G_onset,-0.0017105527347890692,0.12125989227794037,3,-0.0023246242444413976,-0.0008672364161975656,,,False
outer,raw,C_minus_A_G_onset,-0.0017105527347890692,0.12125989227794037,1,-0.002419239245405377,-0.0010225076832545605,,,False
outer,raw,D_minus_A_G_onset,-0.001574034107887308,0.11158218187745908,3,-0.0021483259882851247,-0.0008397206475545763,,,False
