origin,repeat,method,complete_seconds,preparation_seconds
36850,4,tightened_selective,0.07748551599797793,0.04862028599745827
37581,0,fine,0.06122634700295748,0.048821057003806345
37581,0,tightened_selective,0.08606083500490058,0.06006564900599187
37581,1,tightened_selective,0.07947930500085931,0.054925265998463146
37581,1,fine,0.059957083001791034,0.050688203002209775
37581,2,fine,0.05618690000119386,0.04656191600224702
37581,2,tightened_selective,0.07322159999603173,0.04909602199768415
37581,3,tightened_selective,0.06825552900409093,0.048070131000713445
37581,3,fine,0.056949152996821795,0.04747080599918263
37581,4,fine,0.057784153999818955,0.04994456600252306
37581,4,tightened_selective,0.06809135900402907,0.04653548400528962
38230,0,fine,0.05558674300118582,0.04777765000471845
38230,0,tightened_selective,0.07233270900178468,0.04920490600488847
38230,1,tightened_selective,0.07522825799969723,0.04657122399657965
38230,1,fine,0.05495777600299334,0.04513892999966629
38230,2,fine,0.06689425999502419,0.05765517999680014
38230,2,tightened_selective,0.07351617499807617,0.05147738200321328
38230,3,tightened_selective,0.07023626799491467,0.04945004199544201
38230,3,fine,0.0591967209984432,0.052776497999730054
38230,4,fine,0.05940457399992738,0.05143715599842835
38230,4,tightened_selective,0.0664381750029861,0.04821862500102725
38961,0,fine,0.06187566500011599,0.05165474399836967
38961,0,tightened_selective,0.07818469499761704,0.05140786000265507
38961,1,tightened_selective,0.06940552000014577,0.04642649900051765
38961,1,fine,0.056554381000751164,0.04953882500558393
38961,2,fine,0.0637113339980715,0.051943898004537914
38961,2,tightened_selective,0.07715107400144916,0.055746010002621915
38961,3,tightened_selective,0.0719482929998776,0.04786205699929269
38961,3,fine,0.05779923899535788,0.047847557994828094
38961,4,fine,0.05709566500445362,0.05043724999995902
38961,4,tightened_selective,0.07424204999551876,0.04850160500063794
39611,0,fine,0.05932894299621694,0.05108688299515052
39611,0,tightened_selective,0.07052241299970774,0.047691738000139594
39611,1,tightened_selective,0.07360778599831974,0.0490766459988663
39611,1,fine,0.05603378199884901,0.04739347700524377
39611,2,fine,0.05833534999692347,0.04901490199699765
39611,2,tightened_selective,0.07211685700167436,0.04927172099996824
39611,3,tightened_selective,0.07090155899641104,0.04950156099948799
39611,3,fine,0.05865848599933088,0.0511099059949629
39611,4,fine,0.05751781000435585,0.04840516699914588
39611,4,tightened_selective,0.06907976899674395,0.04597660099534551
40342,0,fine,0.06218202099989867,0.051211106998380274
40342,0,tightened_selective,0.07177786299871514,0.04691205299604917
40342,1,tightened_selective,0.06988963200274156,0.04733763900003396
40342,1,fine,0.05611406800016994,0.04601336399355205
40342,2,fine,0.056860188000428025,0.048720368002250325
40342,2,tightened_selective,0.0761016109972843,0.053238330998283345
40342,3,tightened_selective,0.07145530900015729,0.04853513900161488
40342,3,fine,0.055952209993847646,0.048611365993565414
40342,4,fine,0.05853315499552991,0.04926399599935394
40342,4,tightened_selective,0.0729945150014828,0.04788224500225624
40992,0,fine,0.058574982002028264,0.049229504002141766
40992,0,tightened_selective,0.07236332399770617,0.048649641998053994
40992,1,tightened_selective,0.07421665600122651,0.05193899599544238
40992,1,fine,0.05832446800195612,0.049094309004431125
40992,2,fine,0.056921827999758534,0.04744200999994064
40992,2,tightened_selective,0.07013854200340575,0.04835666500002844
40992,3,tightened_selective,0.07010907900257735,0.04762676000245847
40992,3,fine,0.05996319400583161,0.05165128200314939
40992,4,fine,0.05866111099749105,0.0509055449947482
40992,4,tightened_selective,0.06940086700342363,0.04747445999964839
41723,0,fine,0.057732479996047914,0.049048169996240176
41723,0,tightened_selective,0.07425834699824918,0.05079684800148243
41723,1,tightened_selective,0.06744494099984877,0.04650523299642373
41723,1,fine,0.05984428800002206,0.050381684995954856
41723,2,fine,0.057002180998097174,0.049670042004436255
41723,2,tightened_selective,0.07323836899740854,0.044920984997588675
41723,3,tightened_selective,0.08321490899834316,0.060315537994029
41723,3,fine,0.060455859995272476,0.05177495400130283
41723,4,fine,0.06058712899539387,0.051826900999003556
41723,4,tightened_selective,0.07644710900058271,0.055612789998122025
