origin,repeat,method,complete_seconds,preparation_seconds
31409,0,fine,0.051715473004151136,0.04295250800350914
31409,0,tightened_selective,0.06675581300078193,0.04654805599420797
31409,1,tightened_selective,0.0717400470020948,0.04711214500275673
31409,1,fine,0.05807644699962111,0.0482410879994859
31409,2,fine,0.05581259600148769,0.04653053299989551
31409,2,tightened_selective,0.07148493899876485,0.04638681399956113
31409,3,tightened_selective,0.07327514799544588,0.048611992999212816
31409,3,fine,0.056309071005671285,0.047433391999220476
31409,4,fine,0.057956823002314195,0.04642752800282324
31409,4,tightened_selective,0.07871519200125476,0.05059521400107769
32058,0,fine,0.057467727005132474,0.0492576220058254
32058,0,tightened_selective,0.0705686599976616,0.04727169899706496
32058,1,tightened_selective,0.07358749199920567,0.05051605600601761
32058,1,fine,0.05695715700130677,0.04825956299464451
32058,2,fine,0.05899478599894792,0.04867692500556586
32058,2,tightened_selective,0.07559363399923313,0.05212340599973686
32058,3,tightened_selective,0.06793324099999154,0.04614600200147834
32058,3,fine,0.060185638001712505,0.04982104599912418
32058,4,fine,0.0592633969936287,0.04825968999648467
32058,4,tightened_selective,0.07243894500425085,0.04944709300616523
32708,0,fine,0.05900714199378854,0.05015458900015801
32708,0,tightened_selective,0.07073041999683483,0.045772122000926174
32708,1,tightened_selective,0.06820203499955824,0.04645436799910385
32708,1,fine,0.058475084995734505,0.04784683999605477
32708,2,fine,0.05830783999408595,0.048784861995955
32708,2,tightened_selective,0.06722486799844773,0.04480992200114997
32708,3,tightened_selective,0.07143199500569608,0.047275935001380276
32708,3,fine,0.06191585099440999,0.05259123699943302
32708,4,fine,0.05830486199556617,0.05031808599596843
32708,4,tightened_selective,0.07077443700109143,0.04712114200083306
33439,0,fine,0.058124828996369615,0.048288785001204815
33439,0,tightened_selective,0.0711001160016167,0.050459400001273025
33439,1,tightened_selective,0.07184357399819419,0.046114630000374746
33439,1,fine,0.060823799001809675,0.05331639199721394
33439,2,fine,0.05789175999962026,0.04850941599579528
33439,2,tightened_selective,0.07000466099998448,0.04727046000334667
33439,3,tightened_selective,0.07492039300268516,0.050582860996655654
33439,3,fine,0.055760299001121894,0.046974058997875545
33439,4,fine,0.054343616000551265,0.044801711999753024
33439,4,tightened_selective,0.07172587400418706,0.0477504510054132
34089,0,fine,0.05786840300424956,0.050146805006079376
34089,0,tightened_selective,0.07233969200024148,0.04822165399673395
34089,1,tightened_selective,0.06921293400228024,0.04785382800037041
34089,1,fine,0.05937867899774574,0.05155920000106562
34089,2,fine,0.05947636700147996,0.051343891995202284
34089,2,tightened_selective,0.0728273540007649,0.04608915800054092
34089,3,tightened_selective,0.06795923400204629,0.04625243400369072
34089,3,fine,0.05479264500172576,0.046011339996766765
34089,4,fine,0.06725587500113761,0.056270867004059255
34089,4,tightened_selective,0.07236168399685994,0.04655303099571029
34819,0,fine,0.05861579300108133,0.050481992002460174
34819,0,tightened_selective,0.07588514999952167,0.04798428300273372
34819,1,tightened_selective,0.0724741140002152,0.05008364300010726
34819,1,fine,0.05634175500017591,0.048764956001832616
34819,2,fine,0.057292833997053094,0.046782989003986586
34819,2,tightened_selective,0.07849607000389369,0.05239016099949367
34819,3,tightened_selective,0.06623138300346909,0.04644494999956805
34819,3,fine,0.0544800670031691,0.04527806400437839
34819,4,fine,0.06023978799930774,0.051762823000899516
34819,4,tightened_selective,0.06712943000457017,0.046249906001321506
35469,0,fine,0.05812168500415282,0.05176121400290867
35469,0,tightened_selective,0.07638653899630299,0.055126093997387215
35469,1,tightened_selective,0.0677920969974366,0.045365418001892976
35469,1,fine,0.05461453599855304,0.04550600500078872
35469,2,fine,0.06181651599763427,0.052890484999807086
35469,2,tightened_selective,0.0668133660001331,0.04536549099429976
35469,3,tightened_selective,0.06953953300399007,0.04818456400244031
35469,3,fine,0.05674978699971689,0.049896099997567944
35469,4,fine,0.05744733300525695,0.04825848500331631
35469,4,tightened_selective,0.06653217399434652,0.04562540299957618
36200,0,fine,0.060497227001178544,0.04789636199711822
36200,0,tightened_selective,0.0698706149996724,0.046699794998858124
36200,1,tightened_selective,0.06827153199992608,0.04790674200194189
36200,1,fine,0.05674281700339634,0.0461851510044653
36200,2,fine,0.05241222999757156,0.04581439699541079
36200,2,tightened_selective,0.06410132500604959,0.04549878400575835
36200,3,tightened_selective,0.06736386999546085,0.04604246099916054
36200,3,fine,0.05311267700017197,0.04599025799689116
36200,4,fine,0.05288675599877024,0.045163453003624454
36200,4,tightened_selective,0.06465509099507472,0.04377943599683931
36850,0,fine,0.0576995950032142,0.051302512001711875
36850,0,tightened_selective,0.07081982400268316,0.051398935000179335
36850,1,tightened_selective,0.09417243100324413,0.06795971099927556
36850,1,fine,0.06166095400112681,0.0528580870013684
36850,2,fine,0.05204852399765514,0.04454380799870705
36850,2,tightened_selective,0.06699139000556897,0.047745526004291605
36850,3,tightened_selective,0.07514703900233144,0.0500859650055645
36850,3,fine,0.06970221899973694,0.060523074003867805
36850,4,fine,0.056564434999017976,0.04783470300026238
