retention,N,n,expected_mc_bound,estimated_mc_variance,observed_brier_gap,bound_fraction_of_gap
0.0,256,127,0.0009765625,9.867962779353868e-05,0.057386534141089074,0.017017276171428095
0.0,1024,127,0.000244140625,2.4602251706667393e-05,0.05785079331126085,0.004220177650571253
0.15,256,127,0.0009765625,0.0001208669483726069,0.048776011487914855,0.020021368500824654
0.15,1024,127,0.000244140625,3.010492190279258e-05,0.04891509024393187,0.004991110591486371
1.0,256,127,0.0009765625,0.00013655497185956076,0.03640942376645816,0.02682169611537904
1.0,1024,127,0.000244140625,3.410920011814722e-05,0.03679859798001778,0.006634508878098351
