split,origin,model,step,mae_raw
inner_diagnosis,17039,location_repair,6,3.8198337976797023
inner_diagnosis,17099,original,3,5.316689839745792
inner_diagnosis,17099,original,6,7.247707794215656
inner_diagnosis,17099,location_repair,3,4.727057043515698
inner_diagnosis,17099,location_repair,6,6.654488395332393
inner_diagnosis,17159,original,3,2.7884313636567932
inner_diagnosis,17159,original,6,4.157592693219671
inner_diagnosis,17159,location_repair,3,2.7182801397432956
inner_diagnosis,17159,location_repair,6,4.101354540162848
inner_diagnosis,17219,original,3,4.637718504802496
inner_diagnosis,17219,original,6,6.140334640714846
inner_diagnosis,17219,location_repair,3,4.481721085586365
inner_diagnosis,17219,location_repair,6,6.019314784077065
inner_diagnosis,17279,original,3,2.2894980970127325
inner_diagnosis,17279,original,6,2.596681437637457
inner_diagnosis,17279,location_repair,3,2.235876590018121
inner_diagnosis,17279,location_repair,6,2.592998574497599
inner_diagnosis,17339,original,3,2.7508507262182795
inner_diagnosis,17339,original,6,3.4673107984793914
inner_diagnosis,17339,location_repair,3,2.738079644587583
inner_diagnosis,17339,location_repair,6,3.4376880183358214
inner_diagnosis,17399,original,3,4.846672053651689
inner_diagnosis,17399,original,6,6.300908615785505
inner_diagnosis,17399,location_repair,3,4.973340646872053
inner_diagnosis,17399,location_repair,6,6.459323371406296
inner_diagnosis,17459,original,3,4.341864554228291
inner_diagnosis,17459,original,6,5.249865358764777
inner_diagnosis,17459,location_repair,3,4.335276839278508
inner_diagnosis,17459,location_repair,6,5.281382926813963
inner_diagnosis,17519,original,3,3.1754548453304756
inner_diagnosis,17519,original,6,3.7644519296721604
inner_diagnosis,17519,location_repair,3,3.1710580651812794
inner_diagnosis,17519,location_repair,6,3.776915137451464
inner_diagnosis,17579,original,3,1.0356649407724807
inner_diagnosis,17579,original,6,0.8553362370651331
inner_diagnosis,17579,location_repair,3,1.0293202095352016
inner_diagnosis,17579,location_repair,6,0.8323327150075682
inner_diagnosis,17639,original,3,1.9362647066354293
inner_diagnosis,17639,original,6,2.6772877122272574
inner_diagnosis,17639,location_repair,3,1.932917950815679
inner_diagnosis,17639,location_repair,6,2.75314409776359
inner_diagnosis,17699,original,3,1.3954295355407837
inner_diagnosis,17699,original,6,1.9598490262338573
inner_diagnosis,17699,location_repair,3,1.3599618154345015
inner_diagnosis,17699,location_repair,6,1.8915277036154912
inner_diagnosis,17759,original,3,3.049818204516938
inner_diagnosis,17759,original,6,3.952596956504963
inner_diagnosis,17759,location_repair,3,2.690016264633269
inner_diagnosis,17759,location_repair,6,3.3127611311502494
inner_diagnosis,17819,original,3,1.2408099624974895
inner_diagnosis,17819,original,6,1.2568382056118494
inner_diagnosis,17819,location_repair,3,1.2209129652793729
inner_diagnosis,17819,location_repair,6,1.22072582686339
inner_diagnosis,17879,original,3,0.743334288632061
inner_diagnosis,17879,original,6,0.9487817031723556
inner_diagnosis,17879,location_repair,3,0.7433345717044387
inner_diagnosis,17879,location_repair,6,0.9487805881514095
inner_diagnosis,17939,original,3,1.1435425907173438
inner_diagnosis,17939,original,6,1.2270573851959703
inner_diagnosis,17939,location_repair,3,1.1435424246490793
inner_diagnosis,17939,location_repair,6,1.2270570408983283
inner_diagnosis,17999,original,3,1.5720962714272877
inner_diagnosis,17999,original,6,1.9233749386489027
inner_diagnosis,17999,location_repair,3,1.55732869917646
inner_diagnosis,17999,location_repair,6,1.9008174770462056
inner_diagnosis,18059,original,3,2.117498444141288
inner_diagnosis,18059,original,6,2.71061522270032
inner_diagnosis,18059,location_repair,3,2.1130573124588397
inner_diagnosis,18059,location_repair,6,2.704563981789136
