origin,retention,N,unresolved_fraction,refined_fraction_certified,coarse_fine_agreement,correction_variance,maximum_enclosure_violation,mean_radius,actual_mean_error,scenario_hash,fp32_label_flips,fp32_max_state_error,cpu_gpu_max_state_error
31409,0.0,256,1.0,1.0,1.0,0.0,-2.6576098429271995,31.06149249338003,1.0887521079463542,7b93330ca663496118267492d0134b59dae1626e26b9c8cd2e54ec7b156fa489,0.0,1.917323025679707e-06,0.0
31409,0.0,1024,1.0,1.0,1.0,0.0,-2.468346956520945,30.886043847917396,1.0734198497838898,5d8d4cf0b49ec825ad10b416b7f6d351d90836ae301d7ca445b2b38a44203811,,,
31409,0.15,256,1.0,1.0,1.0,0.0,-2.4931016047434884,30.58919993071052,1.0681134901018814,080a15c9e69df2fa33d879ea96cfbdc03d96b7387756d6a3fab498561f418fa0,0.0,1.7944397683322677e-06,0.0
31409,0.15,1024,1.0,1.0,1.0,0.0,-2.313450064146725,30.436744545385352,1.0518548240265226,6a1567e65d411766d84d56a700472eab241002b1ba6b4d903767a8fd9ab7249b,,,
31409,1.0,256,1.0,1.0,1.0,0.0,-2.363516995020861,29.915520573854334,1.094516330969763,c6ec8fab06ed0e66554d037214d85b2b98ad182a7e9ea52431232a7bdfa1a2d7,0.0,1.9705972942318795e-06,0.0
31409,1.0,1024,1.0,1.0,1.0,0.0,-2.363516995020638,29.74109641401724,1.0799971105267818,e4bf03964ceef9ca53a692f840e0b82ec180beee121c3339d149b7195dd6242f,,,
31490,0.0,256,1.0,1.0,1.0,0.0,-1.4510311022400462,21.657077088186103,0.9212883422778859,861e537537ed88a887ef0f7f1e8c8d578ddc040077835b46b5565029ddf88b0c,0.0,1.5730905680300111e-06,0.0
31490,0.0,1024,1.0,1.0,1.0,0.0,-1.4510311022400462,21.60180434162537,0.9174754952720864,ceb3c3ff4df1c957ef94457aacd490adb1c28f2e1b64ad69ccd196e58ef9b85e,,,
31490,0.15,256,1.0,1.0,1.0,0.0,-1.5821983768041052,22.17505360931516,1.0686911260145326,af4b7fe09971ac57ea671ef91f2265dac6c7bbf5bf26a3460fdcfa68fe6be89c,0.0,1.477400854099642e-06,0.0
31490,0.15,1024,1.0,1.0,0.99609375,0.0038947947214076246,-1.5470173049508955,22.087968255199552,1.068393542624321,c07984d62bb879be4adee5623fa08acfb8668673c17ecd66824d9686e8543962,,,
31490,1.0,256,1.0,1.0,0.98046875,0.019224877450980393,-1.4120343269558875,22.602000124423512,1.107416877310073,69c068c0ed68e6fe2cc2aba7ee249c087f2bc595f4ad9fe5c8022b37b96a14ac,0.0,2.394238596714615e-06,0.0
31490,1.0,1024,1.0,1.0,0.98046875,0.019168499511241447,-1.4120343269558866,22.55480584260863,1.1083883808254447,03dd164576835e8820f62e6bd834aa83a2d79832b4c72d4a3fb02680b76783c8,,,
