origin,N,estimate,clipped_for_scoring,variance_estimate,correction_variance,interval,interval_type,n0,n1,pilot_c0,pilot_c1,pilot_v0,pilot_v1,budget_seconds,estimator_seconds,allocation_and_estimator_seconds,allocation_stream,cheap_stream,correction_stream
31409,256,0.0,0.0,0.0,0.0,"[-0.49140877705678165, 0.49140877705678165]","Hoeffding union 95%, untruncated",83,81,0.00032343825000680226,0.0003562346562375751,0.0,0.0,0.05620517900388222,0.054488677997142076,0.07765627099433914,266,276,286
31409,1024,0.0,0.0,0.0,0.0,"[-0.2060556948694646, 0.2060556948694646]","Hoeffding union 95%, untruncated",482,456,0.0002578139218485376,0.00029093643752275966,0.0,0.0,0.25704645599762443,0.1995338630003971,0.21854876699944725,1034,1044,1054
31490,256,0.031578947368421054,0.031578947368421054,0.000325337419697059,0.030907054871220606,"[-0.41800230672554317, 0.48116020146238525]","Hoeffding union 95%, untruncated",103,95,0.0002719412811984512,0.000337385343641472,0.0,0.0,0.060353139000653755,0.04717375800100854,0.07017199300025823,266,276,286
31490,1024,0.0070028011204481795,0.0070028011204481795,9.752821734804526e-06,0.006963514718650431,"[-0.34713248496126786, 0.36113808720216417]","Hoeffding union 95%, untruncated",37,714,0.00026057054697048443,0.0002985066720384566,0.0,0.015625,0.2230277889975696,0.18903668699931586,0.20852539699990302,1034,1044,1054
