population,comparison,a_brier,b_brier,difference,relative_reduction,block_days,difference_low,difference_high
primary_A_T,B_minus_A_T_all_time,0.02051930600803179,0.0183523852510635,-0.002166920756968293,0.10560399830871978,1,-0.003168320098286989,-0.0012576253301033854
primary_A_T,B_minus_A_T_all_time,0.02051930600803179,0.0183523852510635,-0.002166920756968293,0.10560399830871978,3,-0.0031461972348151884,-0.0010592774941088575
primary_A_T,C_minus_A_T_all_time,0.02051930600803179,0.018251306693703586,-0.0022679993143282055,0.1105300205299561,1,-0.0033695057743480736,-0.0012508870868635311
primary_A_T,C_minus_A_T_all_time,0.02051930600803179,0.018251306693703586,-0.0022679993143282055,0.1105300205299561,3,-0.0032547078358220204,-0.0010821391405459971
primary_A_T,C_minus_B_all_time,0.0183523852510635,0.018251306693703586,-0.00010107855735991267,0.005507652328410842,1,-0.00034642777515260135,0.00016450157790949462
primary_A_T,C_minus_B_all_time,0.0183523852510635,0.018251306693703586,-0.00010107855735991267,0.005507652328410842,3,-0.0003169738129515314,0.00013773359653413713
primary_A_T,D_minus_A_T_all_time,0.02051930600803179,0.01818375295411364,-0.002335553053918152,0.11382222444579536,1,-0.0034999587512116958,-0.001279014545217892
primary_A_T,D_minus_A_T_all_time,0.02051930600803179,0.01818375295411364,-0.002335553053918152,0.11382222444579536,3,-0.0033610054799828705,-0.00110751188590505
primary_A_T,D_minus_B_all_time,0.0183523852510635,0.01818375295411364,-0.00016863229694985896,0.009188576560645539,1,-0.0004531388044673625,0.00012544114682442456
primary_A_T,D_minus_B_all_time,0.0183523852510635,0.01818375295411364,-0.00016863229694985896,0.009188576560645539,3,-0.0004058711754965731,8.745929934426284e-05
primary_A_T,D_minus_C_all_time,0.018251306693703586,0.01818375295411364,-6.755373958994629e-05,0.003701309759550053,1,-0.0001343005463138089,4.176767881090813e-06
primary_A_T,D_minus_C_all_time,0.018251306693703586,0.01818375295411364,-6.755373958994629e-05,0.003701309759550053,3,-0.00013337341475697407,3.301636723793639e-06
primary_A_T,B_minus_A_T_onset,0.01497962677852886,0.012719364328333996,-0.0022602624501948648,0.15088910315406695,1,-0.003316707687154572,-0.00134268312487295
primary_A_T,B_minus_A_T_onset,0.01497962677852886,0.012719364328333996,-0.0022602624501948648,0.15088910315406695,3,-0.0033119778785050025,-0.0011731668016469756
primary_A_T,C_minus_A_T_onset,0.01497962677852886,0.012337326906517978,-0.0026422998720108826,0.17639290424767054,1,-0.003903742903897864,-0.0015559402714459558
primary_A_T,C_minus_A_T_onset,0.01497962677852886,0.012337326906517978,-0.0026422998720108826,0.17639290424767054,3,-0.0037753215582589338,-0.0013632070828459954
primary_A_T,C_minus_B_onset,0.012719364328333996,0.012337326906517978,-0.0003820374218160179,0.030035889526725885,1,-0.0006502557171734762,-9.517577124168905e-05
primary_A_T,C_minus_B_onset,0.012719364328333996,0.012337326906517978,-0.0003820374218160179,0.030035889526725885,3,-0.0006010410540824608,-6.528233671818967e-05
primary_A_T,D_minus_A_T_onset,0.01497962677852886,0.012246417897435857,-0.0027332088810930032,0.18246174764585354,1,-0.004043046162756966,-0.0016052531278668506
primary_A_T,D_minus_A_T_onset,0.01497962677852886,0.012246417897435857,-0.0027332088810930032,0.18246174764585354,3,-0.003908260602264705,-0.0013990162238627826
primary_A_T,D_minus_B_onset,0.012719364328333996,0.012246417897435857,-0.0004729464308981385,0.03718318138309714,1,-0.000790582791255276,-0.00013676436979973534
primary_A_T,D_minus_B_onset,0.012719364328333996,0.012246417897435857,-0.0004729464308981385,0.03718318138309714,3,-0.0007200143646908446,-0.00011846579720444198
primary_A_T,D_minus_C_onset,0.012337326906517978,0.012246417897435857,-9.09090090821206e-05,0.007368614755121073,1,-0.00015398950833408505,-2.9344220252579273e-05
primary_A_T,D_minus_C_onset,0.012337326906517978,0.012246417897435857,-9.09090090821206e-05,0.007368614755121073,3,-0.00015239427632055238,-2.923551464368123e-05
historical_transfer_A_H,B_minus_A_H_all_time,0.0264560662833696,0.02233448435389535,-0.00412158192947425,0.15578967354134182,1,-0.010128436191474514,0.0005688844542232911
historical_transfer_A_H,B_minus_A_H_all_time,0.0264560662833696,0.02233448435389535,-0.00412158192947425,0.15578967354134182,3,-0.010276675177004396,4.671599615466474e-06
historical_transfer_A_H,C_minus_A_H_all_time,0.0264560662833696,0.02088604639038628,-0.005570019892983318,0.21053847663228215,1,-0.013070741177256297,0.0004662395221837296
historical_transfer_A_H,C_minus_A_H_all_time,0.0264560662833696,0.02088604639038628,-0.005570019892983318,0.21053847663228215,3,-0.013140149442146821,-0.0003122626012113681
historical_transfer_A_H,C_minus_B_all_time,0.02233448435389535,0.02088604639038628,-0.001448437963509068,0.06485208883976076,1,-0.003570477200753533,0.0006141374927221484
historical_transfer_A_H,C_minus_B_all_time,0.02233448435389535,0.02088604639038628,-0.001448437963509068,0.06485208883976076,3,-0.003194627085264509,0.00038132286906590807
historical_transfer_A_H,D_minus_A_H_all_time,0.0264560662833696,0.02096492108699032,-0.00549114519637928,0.2075571302839923,1,-0.01326302615264224,0.0006935414270465446
historical_transfer_A_H,D_minus_A_H_all_time,0.0264560662833696,0.02096492108699032,-0.00549114519637928,0.2075571302839923,3,-0.0131693077539777,-4.013540448543614e-05
historical_transfer_A_H,D_minus_B_all_time,0.02233448435389535,0.02096492108699032,-0.00136956326690503,0.061320568015091205,1,-0.003655288296615862,0.0007613474852722291
historical_transfer_A_H,D_minus_B_all_time,0.02233448435389535,0.02096492108699032,-0.00136956326690503,0.061320568015091205,3,-0.0034155291676203057,0.0004779021747148292
historical_transfer_A_H,D_minus_C_all_time,0.02088604639038628,0.02096492108699032,7.887469660403795e-05,-0.0037764302122944384,1,-0.00020542218355051748,0.0003611183081517877
historical_transfer_A_H,D_minus_C_all_time,0.02088604639038628,0.02096492108699032,7.887469660403795e-05,-0.0037764302122944384,3,-0.0002881853878884754,0.0003221521759683449
historical_transfer_A_H,B_minus_A_H_onset,0.02397217343789882,0.01939933891567856,-0.004572834522220261,0.19075594184509095,1,-0.011493466867843595,0.0007521902530835224
historical_transfer_A_H,B_minus_A_H_onset,0.02397217343789882,0.01939933891567856,-0.004572834522220261,0.19075594184509095,3,-0.011482529163246206,0.0005139267616878682
historical_transfer_A_H,C_minus_A_H_onset,0.02397217343789882,0.017712905920985574,-0.006259267516913247,0.26110554944582764,1,-0.01507256699305727,0.0006604798195314295
historical_transfer_A_H,C_minus_A_H_onset,0.02397217343789882,0.017712905920985574,-0.006259267516913247,0.26110554944582764,3,-0.014453082452720516,0.00020458411251826183
historical_transfer_A_H,C_minus_B_onset,0.01939933891567856,0.017712905920985574,-0.0016864329946929858,0.08693249816518281,1,-0.004014622453303633,0.0005217228226459951
historical_transfer_A_H,C_minus_B_onset,0.01939933891567856,0.017712905920985574,-0.0016864329946929858,0.08693249816518281,3,-0.003559754178515996,0.000367073846354465
