origin,repeat,model,N,total_seconds,preparation_seconds,probability,mc_lower,mc_upper
31409,0,original,256,0.0734324579971144,0.06347051399643533,0.0,0.0,0.014306362729039375
31409,0,location_repair,256,0.06505272100184811,0.05711970200354699,0.0,0.0,0.014306362729039375
32058,0,original,256,0.0180999910007813,0.0117116649998934,0.0,0.0,0.014306362729039375
32058,0,location_repair,256,0.021458510993397795,0.013672787994437385,0.0,0.0,0.014306362729039375
32708,0,original,256,0.02030374699825188,0.010746467996796127,0.0,0.0,0.014306362729039375
32708,0,location_repair,256,0.025463328005571384,0.01475628100160975,0.0,0.0,0.014306362729039375
33439,0,original,256,0.021901476000493858,0.011359857002389617,0.0,0.0,0.014306362729039375
33439,0,location_repair,256,0.0219248659996083,0.01373586800036719,0.0,0.0,0.014306362729039375
34089,0,original,256,0.022126441996078938,0.011445240001194179,0.00390625,9.889279722355371e-05,0.021570890352533498
34089,0,location_repair,256,0.022116063002613373,0.01416674900247017,0.00390625,9.889279722355371e-05,0.021570890352533498
34819,0,original,256,0.01980275600362802,0.011559067999769468,0.0,0.0,0.014306362729039375
34819,0,location_repair,256,0.02043723699898692,0.014079305001359899,0.0,0.0,0.014306362729039375
35469,0,original,256,0.021808475998113863,0.012564040996949188,0.0,0.0,0.014306362729039375
35469,0,location_repair,256,0.021253813996736426,0.013270472998556215,0.0,0.0,0.014306362729039375
36200,0,original,256,0.02478171199618373,0.01317743999970844,0.0,0.0,0.014306362729039375
36200,0,location_repair,256,0.02166488099464914,0.013713545995415188,0.0,0.0,0.014306362729039375
36850,0,original,256,0.018150561998481862,0.011008302004483994,0.0,0.0,0.014306362729039375
36850,0,location_repair,256,0.02214583299792139,0.013352696994843427,0.0,0.0,0.014306362729039375
37581,0,original,256,0.02039026399870636,0.011070495995227247,0.0,0.0,0.014306362729039375
37581,0,location_repair,256,0.022782801002904307,0.012909884004329797,0.0,0.0,0.014306362729039375
38230,0,original,256,0.018910427002992947,0.011265362001722679,0.0,0.0,0.014306362729039375
38230,0,location_repair,256,0.02163245200063102,0.014564922996214591,0.0,0.0,0.014306362729039375
38961,0,original,256,0.01889636700070696,0.010875378000491764,0.66796875,0.6066303247832971,0.725364391784965
38961,0,location_repair,256,0.021623002001433633,0.013367872001254,0.87890625,0.8325382167908462,0.9162203853225371
39611,0,original,256,0.021354860997234937,0.013438211994071025,0.0,0.0,0.014306362729039375
39611,0,location_repair,256,0.020173059005173855,0.013407932005065959,0.0,0.0,0.014306362729039375
40342,0,original,256,0.02044363599998178,0.01061681500141276,0.0,0.0,0.014306362729039375
40342,0,location_repair,256,0.02413243799674092,0.013586173998191953,0.0,0.0,0.014306362729039375
40992,0,original,256,0.018914706000941806,0.010898727996391244,0.5390625,0.47589910459977025,0.601311049375117
40992,0,location_repair,256,0.02277871700061951,0.014116177000687458,0.94140625,0.9051991415444257,0.9668381679733287
41723,0,original,256,0.017969822998566087,0.01147633399523329,0.0,0.0,0.014306362729039375
41723,0,location_repair,256,0.02072980900265975,0.012959472005604766,0.0,0.0,0.014306362729039375
31409,1,location_repair,256,0.0709988120070193,0.05890322200139053,0.0,0.0,0.014306362729039375
31409,1,original,256,0.07874139299383387,0.07008983400010038,0.0,0.0,0.014306362729039375
32058,1,location_repair,256,0.028981891002331395,0.018825885003025178,0.0,0.0,0.014306362729039375
32058,1,original,256,0.02670262200263096,0.016623511000943836,0.0,0.0,0.014306362729039375
32708,1,location_repair,256,0.02144603300257586,0.01483815700339619,0.0,0.0,0.014306362729039375
32708,1,original,256,0.02050480500474805,0.011750893005228136,0.0,0.0,0.014306362729039375
33439,1,location_repair,256,0.026480596003239043,0.016660647001117468,0.0,0.0,0.014306362729039375
