origin,retention,mean_radius,final_radius,unresolved,lower_severity,upper_severity,maximum_violation,old_mean_radius
31409,0.0,9.504270672007292,13.802633622300304,1.0,0.0,0.9994951923076923,-0.2428861584217401,31.06149249338003
31409,0.15,9.345917748172615,13.649186945759721,1.0,0.0,0.9990024038461538,-0.41816818725393645,30.58919993071052
31409,1.0,9.136979494804534,13.4439616864153,1.0,0.0,0.9985216346153846,-0.39741774448989364,29.915520573854334
32058,0.0,9.063664852791579,12.355070562695438,1.0,0.0,0.9992788461538461,-0.40743410287931336,31.800919971042617
32058,0.15,7.945337319536601,11.257203850269223,1.0,0.0,0.9926682692307692,-0.41359958703408317,28.213322963218854
32058,1.0,7.700665774014048,11.019440153289857,1.0,0.0,0.9914543269230769,-0.29235642395929773,27.47948996625358
32708,0.0,7.53193018198182,10.449074811397512,1.0,0.0,1.0,-0.3747216221021965,24.15611953682286
32708,0.15,7.392666206049935,10.31683774050297,1.0,0.0,1.0,-0.36620017220237866,23.695700813469674
32708,1.0,7.358526961758112,10.308180378532441,1.0,0.0,1.0,-0.4412426594941188,23.419933847654438
33439,0.0,9.515488120353538,13.718704750183477,1.0,0.0,0.9992548076923077,-0.36920713830955343,31.628050110784404
33439,0.15,9.294037268622429,13.504902399926639,1.0,0.0,0.9992668269230769,-0.36785541041871994,30.980385997553856
33439,1.0,9.074380263041414,13.29021238551445,1.0,0.0,0.9985216346153846,-0.378472254439179,30.147527450191518
34089,0.0,8.11662870622357,11.357224155357294,1.0,0.0,0.9997475961538461,-0.4206759559084956,27.211511415971795
34089,0.15,7.906009938868896,11.153756725351167,1.0,0.0,1.0,-0.371951920914964,26.561943801799814
34089,1.0,8.055065157862279,11.322304432237292,1.0,0.0,1.0,-0.387794921641758,27.081580055695426
34819,0.0,8.699017447598012,12.229430804815689,1.0,0.0,0.9646875,-0.42679574269259835,31.85061707613528
34819,0.15,8.264876703892309,11.77704180293575,1.0,0.0,0.9541586538461538,-0.46724858396109115,30.613781207176373
34819,1.0,8.359350009902007,11.896314327724038,1.0,0.0,0.9604447115384616,-0.37277230038115405,30.78274214906516
35469,0.0,9.337378802235698,13.427000396527072,1.0,0.0,0.9932211538461538,-0.36980183430964875,32.58808068616543
35469,0.15,9.203082277997112,13.295184558979022,1.0,0.0,0.9903125,-0.3501184451945871,32.19921048462571
35469,1.0,8.956169502390187,13.050109748948817,1.0,0.0,0.9912740384615385,-0.257444653569614,31.324278022165174
36200,0.0,9.111255576497326,12.921953229398603,1.0,0.0,1.0,-0.2948868800295745,29.271768202431065
36200,0.15,8.933662584166642,12.7493708228307,1.0,0.0,1.0,-0.236777927228359,28.787272792125776
36200,1.0,8.746610079448773,12.550624575758434,1.0,0.0,1.0,-0.2725305265424449,28.193469801940058
36850,0.0,8.675026175315653,12.251940720894208,1.0,0.0,0.987139423076923,-0.48550479741308505,30.787558410643328
36850,0.15,8.301808342094771,11.892870811571148,1.0,0.0,0.9730288461538461,-0.33584691667989297,29.55754642959307
36850,1.0,8.18005356017092,11.77886115284079,1.0,0.0,0.9740865384615385,-0.41847599803473123,29.35149643040624
37581,0.0,7.811274862665023,10.617332816111903,1.0,0.0,1.0,-0.42726338897314164,25.774015970302415
37581,0.15,7.056273006993514,9.872190294140996,1.0,0.0,1.0,-0.33984734708168807,23.364533504135995
37581,1.0,7.2898652039135206,10.10611147219489,1.0,0.0,1.0,-0.5259229560908376,24.27498828653862
38230,0.0,9.84096215086346,13.677364572793358,1.0,0.0,1.0,-0.2667852413859366,31.304016760679122
38230,0.15,9.025663483103012,12.880313748505003,1.0,0.0,1.0,-0.4027397323237789,28.69275409774259
38230,1.0,9.00604077654811,12.848779025994574,1.0,0.0,1.0,-0.45275221320507075,28.84029258506672
38961,0.0,9.874809170719645,14.117772270548215,1.0,0.0,1.0,-0.4714881027276858,26.60438714589038
38961,0.15,10.292809735211483,14.52360420827128,1.0,0.0,1.0,-0.4825108413376471,28.049165079437305
38961,1.0,10.614752632240398,14.838760219496983,1.0,0.0,1.0,-0.40575910583863717,28.722733915406206
39611,0.0,7.913901593426239,10.838724698903171,1.0,0.0,1.0,-0.45337911030253064,25.22603289310565
39611,0.15,7.46652868211745,10.400284613150234,1.0,0.0,1.0,-0.37619046224810226,23.82354177651119
39611,1.0,7.517972205975487,10.454038605719845,1.0,0.0,1.0,-0.45761144497967443,24.009505862561543
40342,0.0,10.076013716173772,14.626160851351276,1.0,0.0,1.0,-0.4354099921854564,33.03486030310731
40342,0.15,9.957906018943282,14.51444466699935,1.0,0.0,1.0,-0.45482776294546756,32.56875227485232
40342,1.0,9.750084437756458,14.335256226882564,1.0,0.0,0.9997596153846153,-0.42952084990197115,31.759642089934655
40992,0.0,8.416946249352774,11.221269941688856,1.0,0.0,1.0,-0.38125437175057897,24.324596950478966
40992,0.15,8.135490446898801,10.961204647605896,1.0,0.0,1.0,-0.37535370818592284,23.26801849557042
40992,1.0,8.05408602813239,10.890638458737818,1.0,0.0,1.0,-0.35298148726026213,23.062155851230866
41723,0.0,8.659839449261247,12.20257585185901,1.0,0.0,0.9765504807692308,-0.49831626844023535,31.826016280417893
41723,0.15,8.186889796889146,11.748196232454042,1.0,0.0,0.9423798076923077,-0.39654689586614644,30.365106070851635
41723,1.0,8.579082740707236,12.210299959301498,1.0,0.0,0.9565745192307692,-0.34763285753748896,30.89511206290658
