model,probability_kind,subset,n,positives,prevalence,brier,event_loss,nonevent_loss,event_contribution,nonevent_contribution,pr_auc,mean_probability,zero_probabilities,threshold,tp,fp,fn,tn,recall,false_alarm_rate,precision,brier_low,brier_high
A,probability,all_time,127,20,0.15748031496062992,0.026456066283369592,0.13688113431366208,0.0058158666515392265,0.021556084143883793,0.0048999821394858055,0.9747658862876254,0.13768007728267878,0,0.055595092652235494,19,6,1,101,0.95,0.056074766355140186,0.76,0.008475912868802735,0.04788927199692402
A,probability,onset,110,5,0.045454545454545456,0.023972173437898824,0.44602222064893216,0.0038745521421353337,0.02027373730222419,0.0036984361356746367,0.7753968253968253,0.0314998869552383,0,0.055595092652235494,4,4,1,101,0.8,0.0380952380952381,0.5,0.004689934294167775,0.048556679461159796
A,calibrated_probability,all_time,127,20,0.15748031496062992,0.03384795638626719,0.20715625062535822,0.0014538826967174646,0.032623031594544605,0.0012249247917225884,0.9747658862876254,0.116195297481606,0,0.02295181043733229,19,6,1,101,0.95,0.056074766355140186,0.76,0.011742099678220895,0.0588829237474213
A,calibrated_probability,onset,110,5,0.045454545454545456,0.02581892962218934,0.54793730364207,0.0009561499069569288,0.024906241074639547,0.0009126885475497957,0.7753968253968253,0.021396130392397104,0,0.02295181043733229,4,4,1,101,0.8,0.0380952380952381,0.5,0.003142259568089452,0.053398950212887986
B,probability,all_time,127,20,0.15748031496062992,0.030610726822597755,0.1780251676887953,0.003056625726112229,0.02803545947855044,0.002575267344047311,0.9618186813186814,0.12875460112844678,0,0.047727018326454484,19,6,1,101,0.95,0.056074766355140186,0.76,0.009519939459018063,0.05516691540299986
B,probability,onset,110,5,0.045454545454545456,0.0244630339520216,0.49277753633709664,0.0021623433622561224,0.022398978924413483,0.0020640550276081167,0.731111111111111,0.028498087975500255,0,0.047727018326454484,4,4,1,101,0.8,0.0380952380952381,0.5,0.0027754074481582507,0.05109485011189858
B,calibrated_probability,all_time,127,20,0.15748031496062992,0.038073346595040795,0.23822824940840598,0.0006612152280566425,0.037516259749355275,0.0005570868456855177,0.9618186813186814,0.11115860277552111,0,0.019293840874695573,19,6,1,101,0.95,0.056074766355140186,0.76,0.01247625047962563,0.06650551792868377
B,calibrated_probability,onset,110,5,0.045454545454545456,0.02568414256230609,0.5551998369520406,0.00046910949612826114,0.02523635622509275,0.00044778633721334014,0.731111111111111,0.02147738419642854,0,0.019293840874695573,4,4,1,101,0.8,0.0380952380952381,0.5,0.0008100417688955853,0.055768721323664824
C,probability,all_time,127,20,0.15748031496062992,0.030462431590314868,0.15306605923215583,0.0075458656759520605,0.024104891217662336,0.0063575403726525235,0.963947172837333,0.1356134611013465,0,0.04874076161388634,19,6,1,101,0.95,0.056074766355140186,0.76,0.010323422570342904,0.05368776358146273
C,probability,onset,110,5,0.045454545454545456,0.02411244318709989,0.45298535300793547,0.003689923671822,0.020590243318542523,0.0035221998685573633,0.7753968253968253,0.0302470377099472,0,0.04874076161388634,4,4,1,101,0.8,0.0380952380952381,0.5,0.0052418770502499585,0.04811997095016528
C,calibrated_probability,all_time,127,20,0.15748031496062992,0.0364557243050353,0.2167992053057107,0.002746662435750157,0.03414160713475759,0.0023141171702776913,0.963947172837333,0.11477134454689908,0,0.027979759252716223,19,6,1,101,0.95,0.056074766355140186,0.76,0.01324503901935536,0.0618502857450083
C,calibrated_probability,onset,110,5,0.045454545454545456,0.026042196306530985,0.5474334719838259,0.0012140403218978987,0.024883339635628447,0.0011588566709025397,0.7753968253968253,0.021792056109036267,0,0.027979759252716223,4,4,1,101,0.8,0.0380952380952381,0.5,0.0038372569065990795,0.05296670642351497
simulator_location_repair,probability,all_time,127,20,0.15748031496062992,0.0335966095210999,0.19491806030273437,0.0034430673189252336,0.030695757527989666,0.0029008519931102363,0.9684425364348639,0.11518823818897637,94,0.05078125000000001,20,6,0,101,1.0,0.056074766355140186,0.7692307692307693,0.015542770237867792,0.055531030363967566
simulator_location_repair,probability,onset,110,5,0.045454545454545456,0.028732161088423296,0.5826995849609375,0.002352759951636905,0.026486344770951704,0.002245816317471591,0.7416666666666667,0.01970880681818182,94,0.05078125000000001,5,4,0,101,1.0,0.0380952380952381,0.5555555555555556,0.00855603035714559,0.05474330467944873
simulator_location_repair,calibrated_probability,all_time,127,20,0.15748031496062992,0.03589472159601103,0.21711953361970945,0.0020209249560673836,0.034192052538536924,0.0017026690574740947,0.9684425364348639,0.11223214587890651,0,0.011912803818873805,20,6,0,101,1.0,0.056074766355140186,0.7692307692307693,0.014852767439955694,0.06159717131547859
simulator_location_repair,calibrated_probability,onset,110,5,0.045454545454545456,0.03239137186209981,0.6784726506054429,0.001625596683845373,0.030839665936611044,0.001551705925488765,0.7416666666666667,0.014212962087586956,0,0.011912803818873805,5,4,0,101,1.0,0.0380952380952381,0.5555555555555556,0.009298183047292918,0.06299365347811987
simulator_original,probability,all_time,127,20,0.15748031496062992,0.06286549004982775,0.3948997497558594,0.0008030116001022196,0.06218893696942667,0.0006765530804010827,0.9651830604036487,0.0703125,94,0.03125000000000001,20,6,0,101,1.0,0.056074766355140186,0.7692307692307693,0.03379901931399391,0.09322624071958507
simulator_original,probability,onset,110,5,0.045454545454545456,0.033024042302911935,0.712884521484375,0.0006497337704613095,0.03240384188565341,0.0006202004172585228,0.7087301587301588,0.012180397727272727,94,0.03125000000000001,5,4,0,101,1.0,0.0380952380952381,0.5555555555555556,0.00909477696560397,0.06429235203556283
simulator_original,calibrated_probability,all_time,127,20,0.15748031496062992,0.04732007014125471,0.29465199262478875,0.0010898042564819676,0.04640188860232894,0.0009181815389257523,0.9651830604036487,0.09168730080344936,0,0.015800255474452463,20,6,0,101,1.0,0.056074766355140186,0.7692307692307693,0.021964145457411564,0.07520764335362767
simulator_original,calibrated_probability,onset,110,5,0.045454545454545456,0.03206520798507309,0.684848029233274,0.0009803117351587652,0.03112945587423973,0.0009357521108333669,0.7087301587301588,0.013791673124999099,0,0.015800255474452463,5,4,0,101,1.0,0.0380952380952381,0.5555555555555556,0.00881078746276354,0.0630269468232472
