population,calibration,model,endpoint,n,positives,brier,event_contribution,nonevent_contribution,mean_probability,recall,fpr,tp,fp,cutoff,zero_count,cutoff_ties
outer,raw,A_G,onset,8981,289,0.01410650053084579,0.009227571980070957,0.004878928550774833,0.028619896362893527,0.9238754325259516,0.04049700874367234,267,352,0.012397308441743112,0,0
outer,raw,A_G,all_time,10309,1478,0.018623127412863035,0.00947798136287737,0.009145146049985666,0.14302904338259642,0.9851150202976996,0.055486354886196354,1456,490,0.012397308441743112,0,0
outer,raw,R_union,onset,8981,289,0.012167137839915234,0.008050036638501746,0.004117101201413489,0.02851636175826093,0.9619377162629758,0.04291302346985734,278,373,0.006174247615661918,0,0
outer,raw,R_union,all_time,10309,1478,0.016054729682793843,0.008592065421329325,0.007462664261464516,0.14146465235164496,0.9925575101488497,0.057751104065224775,1467,510,0.006174247615661918,0,0
outer,raw,A_mono,onset,8981,289,0.013601092157201731,0.009461452132621211,0.004139640024580519,0.028587220750034947,0.9238754325259516,0.04049700874367234,267,352,0.03023442208958704,0,0
outer,raw,A_mono,all_time,10309,1478,0.017925698519722054,0.01027855564460144,0.007647142875120612,0.13905462691946807,0.9851150202976996,0.055486354886196354,1456,490,0.03023442208958704,0,0
outer,raw,B_20261001,onset,8981,289,0.012487033559993572,0.008310562432623495,0.004176471127370076,0.028038249763669372,0.9688581314878892,0.04371836171191901,280,380,0.00809530600057246,8202,0
outer,raw,B_20261001,all_time,10309,1478,0.017323036094211725,0.009977317294114229,0.007345718800097498,0.13689070120302002,0.9918809201623816,0.05525987996829351,1466,488,0.00809530600057246,8236,0
outer,raw,B_20261002,onset,8981,289,0.012154265024869309,0.007817543527641716,0.004336721497227591,0.030607416183975118,0.9619377162629758,0.0393465255407271,278,342,0.040495893212239384,7468,0
outer,raw,B_20261002,all_time,10309,1478,0.017046756208587296,0.010051932805787657,0.006994823402799641,0.1363349902265496,0.989851150202977,0.050730381610236665,1463,448,0.040495893212239384,7502,0
outer,raw,B_20261003,onset,8981,289,0.011867560679382728,0.007330651444182161,0.004536909235200564,0.03074398915848396,0.9792387543252595,0.038656235618959964,283,336,0.037760752787940374,7827,0
outer,raw,B_20261003,all_time,10309,1478,0.016756264490853948,0.00958595030929967,0.007170314181554278,0.13675750087749985,0.993234100135318,0.05005095685652814,1468,442,0.037760752787940374,7862,0
outer,raw,K_20261001,onset,8981,289,0.012431778068778262,0.008268954654402728,0.004162823414375534,0.02808891330049736,0.9584775086505191,0.05050621260929591,277,439,0.0023547156519951435,8207,0
outer,raw,K_20261001,all_time,10309,1478,0.0173640292329318,0.010129825403575954,0.007234203829355844,0.13635012021003837,0.989851150202977,0.06194089004642736,1463,547,0.0023547156519951435,8241,0
outer,raw,K_20261002,onset,8981,289,0.013661292702391716,0.009407386971888565,0.00425390573050315,0.02661624284427631,0.9653979238754326,0.03888633225954901,279,338,0.00491524753624011,8094,0
outer,raw,K_20261002,all_time,10309,1478,0.01814811965230874,0.010587267841363296,0.007560851810945441,0.1337092936014971,0.9925575101488497,0.05208923111765372,1467,460,0.00491524753624011,8112,0
outer,raw,K_20261003,onset,8981,289,0.013397898384149617,0.009260128672328893,0.004137769711820725,0.026922333250976503,0.9515570934256056,0.03554993097100782,275,309,0.013558706125462568,7107,0
outer,raw,K_20261003,all_time,10309,1478,0.01801621920037827,0.010810156470843005,0.007206062729535263,0.13240121806149638,0.9891745602165088,0.04767297021854829,1462,421,0.013558706125462568,7131,0
outer,raw,C_20261001,onset,8981,289,0.013228195630656883,0.008773725910386502,0.0044544697202703815,0.028038153373823635,0.972318339100346,0.05453290381960423,281,474,0.004981375786938564,8061,0
outer,raw,C_20261001,all_time,10309,1478,0.01774883565346948,0.009478223746798086,0.008270611906671397,0.1406805013355556,0.9939106901217862,0.06782923791190126,1469,599,0.004981375786938564,8074,0
outer,raw,C_20261002,onset,8981,289,0.011695749515255266,0.007485587277796518,0.004210162237458749,0.02945499986710593,0.9757785467128027,0.03877128393925449,282,337,0.025814832212272626,8081,0
outer,raw,C_20261002,all_time,10309,1478,0.01675183875310132,0.010127959434416852,0.00662387931868447,0.1346967131653016,0.9925575101488497,0.05016419431547956,1467,443,0.025814832212272626,8118,0
outer,raw,C_20261003,onset,8981,289,0.01226389824225802,0.007875190500649798,0.004388707741608222,0.03009384705250619,0.9792387543252595,0.040266912103083294,283,350,0.030451440155218248,7533,0
outer,raw,C_20261003,all_time,10309,1478,0.016901678077680653,0.009690312522698525,0.007211365554982128,0.136854134746131,0.9939106901217862,0.05163628128184804,1469,456,0.030451440155218248,7565,0
outer,raw,D_20261001,onset,8981,289,0.01253012424334322,0.008463163754956265,0.0040669604883869555,0.027582809826779218,0.9653979238754326,0.045904279797514956,279,399,0.0034032274994483646,8208,0
outer,raw,D_20261001,all_time,10309,1478,0.01744206828780796,0.010260808210249626,0.007181260077558334,0.13576790610388198,0.9912043301759134,0.05752462914732193,1465,508,0.0034032274994483646,8241,0
outer,raw,D_20261002,onset,8981,289,0.012917992211290122,0.008854796921974693,0.00406319528931543,0.027541460248107216,0.9619377162629758,0.0393465255407271,278,342,0.01596978218398255,7593,0
outer,raw,D_20261002,all_time,10309,1478,0.017881946424272217,0.010935080658105457,0.006946865766166763,0.13094066637300533,0.9905277401894452,0.051296568904993775,1464,453,0.01596978218398255,7623,0
outer,raw,D_20261003,onset,8981,289,0.012149282814242112,0.007615760183527563,0.004533522630714551,0.03095670972702469,0.9826989619377162,0.04739990796134377,284,412,0.030157882765936686,7529,0
outer,raw,D_20261003,all_time,10309,1478,0.016884512501479276,0.009576718178149916,0.007307794323329355,0.13752606154547625,0.9945872801082544,0.05877024119578757,1470,519,0.030157882765936686,7561,0
