device,method,retention,N,mean_seconds,median_seconds,p95_seconds,conditioning_setup_seconds,sampling_seconds,residual_gather_seconds,enclosure_seconds,compaction_seconds,fine_seconds,transfer_seconds,event_seconds
cpu,fine_mc,0.0,256,0.03751825215294953,0.0341152558103203,0.04684175504371515,0.004616652120603202,0.02332388990907926,0.0007798455044393813,,,0.007997494205483185,0.0,0.00034178659552703205
cpu,fine_mc,0.0,1024,0.2065258926595561,0.20588633511215446,0.2284654549323022,0.0046570103877456364,0.16490749191143547,0.0031082525092642243,,,0.03206048432912207,0.0,0.001355677013634654
cpu,fine_mc,0.15,256,0.04063409272930581,0.036451275460422,0.053886613156646446,0.005214197110035407,0.026074926194269158,0.0008081795967882008,,,0.00778497061401135,0.0,0.00033738682395773593
cpu,fine_mc,0.15,1024,0.21003219921840352,0.21257548313587898,0.24604946998879307,0.005407394666690332,0.16933546510699668,0.002786711309454356,,,0.03069499475532207,0.0,0.0013656235823872914
cpu,fine_mc,1.0,256,0.016208979999646492,0.01482010446488855,0.020940076094120724,0.006371401061187448,0.0008872568578226008,0.0006359894032356765,,,0.00722145306644956,0.0,0.00033362483372906796
cpu,fine_mc,1.0,1024,0.043299569209921125,0.03901797160506245,0.05953019829466933,0.006554503328516099,0.003640575305325867,0.0030294245661934382,,,0.028337581272353363,0.0,0.001319022252573583
cuda,certified_fallback,0.0,256,0.04070814728038381,0.038405992090702,0.05110659319907423,0.00441833253717045,0.024139516186551146,0.0010035539016825532,0.005154266764293377,0.0,0.0009502534376224024,0.004132243164349296,
cuda,certified_fallback,0.0,1024,0.15097902331035581,0.14491913747042418,0.20226286612451075,0.004667244749725746,0.11144622466235883,0.0026865172403631224,0.02165527745091817,0.0,0.0022897838061907744,0.006082512001739764,
cuda,certified_fallback,0.15,256,0.042373990057967555,0.0413261950016021,0.047458266187459144,0.005324751924490506,0.025525002303766038,0.0009825473389354976,0.005263379542157002,0.0,0.0009452834929106219,0.0033919387642526444,
cuda,certified_fallback,0.15,1024,0.16114300569461187,0.15506754349917168,0.18329221261665218,0.0050750728696584224,0.12122516374802213,0.002778111549559929,0.021559039014391553,0.0,0.0022897468734299296,0.006101610953919541,
cuda,certified_fallback,1.0,256,0.019377089571207713,0.018760982900857898,0.021390583179891093,0.006390212089172516,0.0010274631931678844,0.0008896337822079148,0.005193720062379675,0.0,0.00097408946021455,0.0033195145515491735,
cuda,certified_fallback,1.0,1024,0.04668954832595768,0.044221568852663,0.0500701534561812,0.006491540843853678,0.004120220415643367,0.00263176856969944,0.0216786134988069,0.0,0.002304323323187372,0.007329445070354224,
cuda,empirical_selective,0.0,256,0.041470737822237376,0.03926685545593495,0.05070415679365391,0.00441833253717045,0.024139516186551146,0.0010035539016825532,0.005154266764293377,0.0007143936818465039,0.001018816183204714,0.003978418477345212,
cuda,empirical_selective,0.0,1024,0.1581793849909445,0.1521427454426884,0.20673987241461866,0.004667244749725746,0.11144622466235883,0.0026865172403631224,0.02165527745091817,0.003205823682947032,0.002297021419508332,0.010007574077462725,
cuda,empirical_selective,0.15,256,0.04334236987051549,0.042134140618145396,0.049760992918163466,0.005324751924490506,0.025525002303766038,0.0009825473389354976,0.005263379542157002,0.0006741043180226742,0.0010097477206726922,0.0034234852500957882,
cuda,empirical_selective,0.15,1024,0.16779177883290683,0.16222160123288631,0.1880317625589668,0.0050750728696584224,0.12122516374802213,0.002778111549559929,0.021559039014391553,0.0032084692647912907,0.0022982381051405774,0.009461492634727573,
cuda,empirical_selective,1.0,256,0.019446717633400064,0.01958792190998785,0.022076912783086256,0.006390212089172516,0.0010274631931678844,0.0008896337822079148,0.005193720062379675,0.0006724610866512562,0.0010113844473380125,0.0032662829325999588,
cuda,empirical_selective,1.0,1024,0.04957784074940714,0.04656262882053845,0.0531670891679823,0.006491540843853678,0.004120220415643367,0.00263176856969944,0.0216786134988069,0.003145472743199157,0.0022922192001714804,0.00705081524210977,
cuda,fine_mc,0.0,256,0.035836729788570616,0.033546118997037355,0.04406034415587775,0.00441833253717045,0.024139516186551146,0.0010035539016825532,,,0.0010957720223813765,0.004111774673219721,0.00044914647878608206
cuda,fine_mc,0.0,1024,0.13264739612350238,0.1271114628762006,0.18692345758900045,0.004667244749725746,0.11144622466235883,0.0026865172403631224,,,0.002289498515892725,0.009350921915029129,0.0014932878257240577
cuda,fine_mc,0.15,256,0.037617645590216804,0.0364060644060373,0.04424290414899586,0.005324751924490506,0.025525002303766038,0.0009825473389354976,,,0.0010763927712104718,0.003606232319725629,0.0004496144683798281
cuda,fine_mc,0.15,1024,0.14213204807310828,0.13709164876490826,0.1606555338948965,0.0050750728696584224,0.12122516374802213,0.002778111549559929,,,0.0022923298383829625,0.008636303828097826,0.0014896638458594118
cuda,fine_mc,1.0,256,0.013452863422571633,0.01383527740836135,0.015752007625996982,0.006390212089172516,0.0010274631931678844,0.0008896337822079148,,,0.0009484266920480375,0.003289418906206213,0.00041986290307244767
cuda,fine_mc,1.0,1024,0.02613498443679414,0.024737332016229602,0.027809402532875532,0.006491540843853678,0.004120220415643367,0.00263176856969944,,,0.0022896124428370525,0.008420467114774462,0.0015012742660473523
