method,retention,N,brier,brier_low,brier_high,onset_brier,n,positives,pr_auc,mean_seconds,p95_seconds
certified_fallback,0.0,256,0.08384260042445867,0.04699152879050521,0.12154158130856868,0.041371570933948866,127,20,0.9055939188806836,0.04070814728038381,0.05110659319907423
certified_fallback,0.0,1024,0.08430685959463044,0.047602414287378526,0.12175482725219208,0.041843258250843396,127,20,0.9134330904602644,0.15097902331035584,0.20226286612451075
certified_fallback,0.15,256,0.07523207777128445,0.04058546871224965,0.1106641286611557,0.034657981178977275,127,20,0.9691863487819371,0.04237399005796755,0.047458266187459144
certified_fallback,0.15,1024,0.07537115652730146,0.041214062940449485,0.11036747959966549,0.035284423828125,127,20,0.9625648504495761,0.16114300569461193,0.18329221261665218
certified_fallback,1.0,256,0.06286549004982775,0.034434225275983596,0.0923006772994995,0.033024042302911935,127,20,0.9651830604036487,0.019377089571207717,0.021390583179891093
certified_fallback,1.0,1024,0.06325466426338737,0.03489702888045127,0.09253307327510804,0.03312199332497336,127,20,0.9713128875432016,0.04668954832595769,0.0500701534561812
empirical_selective,0.0,256,0.08384260042445867,0.04699152879050521,0.12154158130856868,0.041371570933948866,127,20,0.9055939188806836,0.04147073782223737,0.05070415679365391
empirical_selective,0.0,1024,0.08430685959463044,0.047602414287378526,0.12175482725219208,0.041843258250843396,127,20,0.9134330904602644,0.15817938499094453,0.20673987241461866
empirical_selective,0.15,256,0.07523207777128445,0.04058546871224965,0.1106641286611557,0.034657981178977275,127,20,0.9691863487819371,0.043342369870515485,0.049760992918163466
empirical_selective,0.15,1024,0.07537115652730146,0.041214062940449485,0.11036747959966549,0.035284423828125,127,20,0.9625648504495761,0.16779177883290686,0.1880317625589668
empirical_selective,1.0,256,0.06286549004982775,0.034434225275983596,0.0923006772994995,0.033024042302911935,127,20,0.9651830604036487,0.019446717633400067,0.022076912783086256
empirical_selective,1.0,1024,0.06325466426338737,0.03489702888045127,0.09253307327510804,0.03312199332497336,127,20,0.9713128875432016,0.04957784074940714,0.0531670891679823
fine_mc,0.0,256,0.08384260042445867,0.04699152879050521,0.12154158130856868,0.041371570933948866,127,20,0.9055939188806836,0.035836729788570616,0.04406034415587775
fine_mc,0.0,1024,0.08430685959463044,0.047602414287378526,0.12175482725219208,0.041843258250843396,127,20,0.9134330904602644,0.1326473961235024,0.18692345758900045
fine_mc,0.15,256,0.07523207777128445,0.04058546871224965,0.1106641286611557,0.034657981178977275,127,20,0.9691863487819371,0.03761764559021681,0.04424290414899586
fine_mc,0.15,1024,0.07537115652730146,0.041214062940449485,0.11036747959966549,0.035284423828125,127,20,0.9625648504495761,0.1421320480731083,0.1606555338948965
fine_mc,1.0,256,0.06286549004982775,0.034434225275983596,0.0923006772994995,0.033024042302911935,127,20,0.9651830604036487,0.013452863422571633,0.015752007625996982
fine_mc,1.0,1024,0.06325466426338737,0.03489702888045127,0.09253307327510804,0.03312199332497336,127,20,0.9713128875432016,0.026134984436794143,0.027809402532875532
two_level,0.15,256,0.07396538143244978,0.04041942428621645,0.10896338244897437,0.03512176406308416,127,20,0.961165489651238,0.03193126512633166,0.03790364200249306
two_level,0.15,1024,0.0753270695827716,0.04131983735107141,0.11015535210621025,0.03490691867391456,127,20,0.9648545542098681,0.09481877746293318,0.13402072340250012
