origin,retention,N,unresolved_fraction,refined_fraction_certified,coarse_fine_agreement,correction_variance,maximum_enclosure_violation,mean_radius,actual_mean_error,scenario_hash,fp32_label_flips,fp32_max_state_error,cpu_gpu_max_state_error
31409,0.0,256,1.0,1.0,1.0,0.0,-2.6576098429271715,31.06149249338004,1.0887521079463542,76ff3a4b38eb2a25a2228e11bad5307596a064e82ce35037ae3a5e20b6e16b7b,0.0,1.917323036337848e-06,3.552713678800501e-15
31409,0.0,1024,1.0,1.0,1.0,0.0,-2.468346956520954,30.886043847917403,1.0734198497838896,e78a3bb09bb04967cc267aca02d72b2fbbadf4d66e1d8085273f4d62ae63ad84,,,
31409,0.15,256,1.0,1.0,1.0,0.0,-2.4931016047434884,30.58919993071052,1.0681134901018814,153801ee3cd9de78ee24ad8614d6858bd0b7e80ba92202af0561875933d01d88,0.0,1.7944397683322677e-06,3.552713678800501e-15
31409,0.15,1024,1.0,1.0,1.0,0.0,-2.3134500641469034,30.436744545385356,1.0518548240265226,002e92d0e2c2a44ecc51e807ea8b5c9e962a9e11ada08b0f060f4caf61a40250,,,
31409,1.0,256,1.0,1.0,1.0,0.0,-2.363516995020861,29.915520573854334,1.094516330969763,e9617867baf50f80cca856224969e57bb71fdd32c99ae6b31cb01befcda266e9,0.0,1.9705972942318795e-06,3.552713678800501e-15
31409,1.0,1024,1.0,1.0,1.0,0.0,-2.363516995020638,29.74109641401724,1.0799971105267818,cda9fa16cbb4d76b9dd4fdd585a67605371de77bb446b33ec2a78eddf7b3f2da,,,
31490,0.0,256,1.0,1.0,1.0,0.0,-1.451031102240047,21.657077088186096,0.9212883422778865,b6ef284ecd42cbea94f8e42be50267ceb4a3e43f9f58b7fe40aca40ea16861f9,0.0,1.5730905520427996e-06,2.220446049250313e-15
31490,0.0,1024,1.0,1.0,1.0,0.0,-1.451031102240047,21.60180434162537,0.9174754952720866,effeb597c40ede944629e7f1b84ad4b29df1f5c7ec81ff351bbee17a09f2194c,,,
31490,0.15,256,1.0,1.0,1.0,0.0,-1.5821983768041061,22.175053609315167,1.0686911260145329,cfd94b02203d5704e470af8b85c2299a1c0429acbd7c472538d729ca6a60cda1,0.0,1.4774008514351067e-06,2.6645352591003757e-15
31490,0.15,1024,1.0,1.0,0.99609375,0.0038947947214076246,-1.5470173049508902,22.087968255199552,1.0683935426243212,e974ee25549c70b09c42b1b76f3da63ee082f4612a2b002386df4e3b06d26658,,,
31490,1.0,256,1.0,1.0,0.98046875,0.019224877450980393,-1.412034326955749,22.602000124424297,1.1074168773100415,6dd85e29278221dece69d68cf450b666edb9689f277765294bcccd31da82bffa,0.0,2.394238662439818e-06,2.6645352591003757e-15
31490,1.0,1024,1.0,1.0,0.98046875,0.019168499511241447,-1.412034326955749,22.554805842609408,1.108388380825417,73984faa194c9c70e9e1b75f9069862683603db82128f8d88e798e8a648110dc,,,
31571,0.0,256,1.0,1.0,0.9296875,0.065625,-1.9303741725621952,24.280098987239366,1.3334522643451212,c44518d7a746cafc829ea6becdebaa5f32cd5b7c5a4c5e8e6b289c66b2a0ec76,0.0,2.2333600995239067e-06,1.7763568394002505e-15
