population,model,subset,n,positives,brier,event_contribution,nonevent_contribution,mean_probability,threshold,tp,fp,recall,false_alarm_rate
primary_A_T,A_T,all_time,10309,1478,0.02051930600803179,0.012337761858164393,0.008181544149867399,0.13700949099372361,0.02150105258748797,1460,624,0.9878214001655579,0.07066017389297485
primary_A_T,A_T,onset,8981,289,0.01497962677852886,0.009555977234073025,0.005423649544455838,0.031130267175784137,0.02150105258748797,271,485,0.9377162456512451,0.05579843372106552
primary_A_T,B_20260924,all_time,10309,1478,0.01831338688299396,0.010884609599670872,0.0074287772833230865,0.1384553803454034,0.006887746187010552,1470,757,0.9945873022079468,0.08572075515985489
primary_A_T,B_20260924,onset,8981,289,0.01270785260477746,0.007863810412587434,0.004844042192190026,0.03110730628217923,0.006887746187010552,284,631,0.9826989769935608,0.0725954920053482
primary_A_T,B_20260925,all_time,10309,1478,0.01776257635841438,0.011237472070477534,0.006525104287936845,0.13603966715688962,0.0014744164294163812,1463,832,0.989851176738739,0.09421356767416
primary_A_T,B_20260925,onset,8981,289,0.012044622431368427,0.0077353442320494195,0.004309278199319008,0.03072000229313618,0.0014744164294163812,277,704,0.9584774971008301,0.08099401742219925
primary_A_T,B_20260926,all_time,10309,1478,0.018981192511782163,0.01132986717841747,0.007651325333364693,0.13830327162483552,0.0031442025431963733,1470,840,0.9945873022079468,0.09511946886777878
primary_A_T,B_20260926,onset,8981,289,0.013405617948856105,0.008661218764960043,0.004744399183896062,0.029422146396133324,0.0031442025431963733,284,712,0.9826989769935608,0.08191440254449844
primary_A_T,C_20260924,all_time,10309,1478,0.018105743541147287,0.011339977929500563,0.006765765611646724,0.1360298053473176,5e-324,1455,432,0.984438419342041,0.04891858249902725
primary_A_T,C_20260924,onset,8981,289,0.011900728603739398,0.0074651961664448955,0.004435532437294503,0.029687323807936768,5e-324,276,318,0.9550173282623291,0.03658536449074745
primary_A_T,C_20260925,all_time,10309,1478,0.01746394418762797,0.010291289772340393,0.007172654415287577,0.13898514320576527,5e-324,1467,715,0.9925575256347656,0.08096478134393692
primary_A_T,C_20260925,onset,8981,289,0.011634907645498302,0.006689361628561114,0.00494554601693719,0.03270123940937336,5e-324,284,598,0.9826989769935608,0.06879889219999313
primary_A_T,C_20260926,all_time,10309,1478,0.019184232352335507,0.011800007731087978,0.00738422462124753,0.13528940367043304,0.028768452902961174,1467,628,0.9925575256347656,0.07111312448978424
primary_A_T,C_20260926,onset,8981,289,0.013476344470316233,0.008668590055702021,0.004807754414614213,0.030791655519386573,0.028768452902961174,279,491,0.9653978943824768,0.056488726288080215
primary_A_T,D_20260924,all_time,10309,1478,0.017862034996010162,0.011350895814247733,0.006511139181762427,0.13512905795810493,5e-324,1456,418,0.9851149916648865,0.047333259135484695
primary_A_T,D_20260924,onset,8981,289,0.011678783515310414,0.007423524475563095,0.004255259039747318,0.029411215537720716,5e-324,276,303,0.9550173282623291,0.03485964238643646
primary_A_T,D_20260925,all_time,10309,1478,0.017572589471730973,0.010668849787739123,0.006903739683991849,0.13766457963438586,5e-324,1464,679,0.9905277490615845,0.07688823342323303
primary_A_T,D_20260925,onset,8981,289,0.011627110915776675,0.006857234644508569,0.004769876271268104,0.031992287791371254,5e-324,283,563,0.979238748550415,0.06477220356464386
primary_A_T,D_20260926,all_time,10309,1478,0.019116634394599794,0.011691080794212497,0.007425553600387296,0.13556768150025542,0.029266556444941028,1467,615,0.9925575256347656,0.06964103877544403
primary_A_T,D_20260926,onset,8981,289,0.013433359261220489,0.00859431760478613,0.004839041656434359,0.03084988508378375,0.029266556444941028,279,478,0.9653978943824768,0.054993096739053726
historical_transfer_A_H,A_H,all_time,127,20,0.0264560662833696,0.021556084143883793,0.004899982139485805,0.1376800772826788,0.055595092652235494,19,6,0.949999988079071,0.05607476457953453
historical_transfer_A_H,A_H,onset,110,5,0.02397217343789882,0.020273737302224187,0.0036984361356746367,0.03149988695523831,0.055595092652235494,4,4,0.800000011920929,0.03809523954987526
historical_transfer_A_H,A_T,all_time,127,20,0.023522086408419827,0.019107979872188752,0.0044141065362310735,0.14038659128420342,0.02150105258748797,20,9,1.0,0.08411215245723724
historical_transfer_A_H,A_T,onset,110,5,0.019259709744883377,0.017920901064421374,0.0013388086804620024,0.031920646516250206,0.02150105258748797,5,7,1.0,0.06666667014360428
historical_transfer_A_H,B_20260924,all_time,127,20,0.02130384125215884,0.01742627692419196,0.003877564327966878,0.13955927119079792,0.006887746187010552,20,9,1.0,0.08411215245723724
historical_transfer_A_H,B_20260924,onset,110,5,0.018974213046815774,0.015908862301105994,0.003065350745709779,0.03410242071152914,0.006887746187010552,5,7,1.0,0.06666667014360428
historical_transfer_A_H,B_20260925,all_time,127,20,0.021867732069368425,0.017763837032454294,0.004103895036914132,0.13602891550038018,0.0014744164294163812,20,8,1.0,0.07476635277271271
historical_transfer_A_H,B_20260925,onset,110,5,0.017551436652735664,0.01422958449963658,0.0033218521530990848,0.033896432538561734,0.0014744164294163812,5,7,1.0,0.06666667014360428
historical_transfer_A_H,B_20260926,all_time,127,20,0.023831879740158785,0.019445031535113146,0.004386848205045636,0.13929367837731577,0.0031442025431963733,20,9,1.0,0.08411215245723724
historical_transfer_A_H,B_20260926,onset,110,5,0.02167236704748425,0.01802274721664339,0.0036496198308408633,0.03289894336811336,0.0031442025431963733,5,7,1.0,0.06666667014360428
historical_transfer_A_H,C_20260924,all_time,127,20,0.018981039240337248,0.016103244859066265,0.0028777943812709783,0.13593691932002222,5e-324,20,5,1.0,0.04672897234559059
historical_transfer_A_H,C_20260924,onset,110,5,0.01642696095368854,0.01353362962300719,0.002893331330681346,0.03328970779932361,5e-324,5,4,1.0,0.03809523954987526
historical_transfer_A_H,C_20260925,all_time,127,20,0.018009770495654165,0.014396490999134683,0.003613279496519482,0.14056948534557087,5e-324,20,7,1.0,0.06542056053876877
historical_transfer_A_H,C_20260925,onset,110,5,0.015077146182402856,0.011721765741143603,0.003355380441259254,0.03725416779758431,5e-324,5,6,1.0,0.05714285746216774
historical_transfer_A_H,C_20260926,all_time,127,20,0.025667329435167443,0.020662534283898578,0.005004795151268865,0.13588194185621516,0.028768452902961174,20,5,1.0,0.04672897234559059
historical_transfer_A_H,C_20260926,onset,110,5,0.02163461062686533,0.017810373479673073,0.0038242371471922535,0.03256200917900742,0.028768452902961174,5,4,1.0,0.03809523954987526
historical_transfer_A_H,D_20260924,all_time,127,20,0.0191860633482761,0.016191542245016767,0.002994521103259333,0.13495927624126214,5e-324,20,5,1.0,0.04672897234559059
