origin,retention,N,method,device,conditioning_setup_seconds,sampling_seconds,residual_gather_seconds,fine_seconds,transfer_seconds,device_seconds,event_seconds,total_seconds,enclosure_seconds,compaction_seconds
31409,0.0,256,fine_mc,cpu,0.007083951997628901,0.037736935999419075,0.003580235999834258,0.010872334001760464,0.0,0.0,0.0007190760006778874,0.060116289008874446,,
31409,0.0,256,empirical_selective,cpu,0.007083951997628901,0.037736935999419075,0.003580235999834258,0.011622728998190723,0.0,,,0.06993951900221873,0.007975027998327278,0.0018168829992646351
31409,0.0,256,certified_fallback,cpu,0.007083951997628901,0.037736935999419075,0.003580235999834258,0.009080598996661138,0.0,,,0.06651571000838885,0.007975027998327278,0.0
31409,0.0,256,fine_mc,cpu,0.007001407000643667,0.038078976001997944,0.0015166950033744797,0.009079992996703368,0.0,0.0,0.0007889230037108064,0.05662263799604261,,
31409,0.0,1024,fine_mc,cpu,0.00554141999600688,0.17409392500121612,0.004980403995432425,0.04992370100080734,0.0,0.0,0.002886078000301495,0.23753181400388712,,
31409,0.0,1024,empirical_selective,cpu,0.00554141999600688,0.17409392500121612,0.004980403995432425,0.04571605699311476,0.0,,,0.27911037699959707,0.04242196900304407,0.00625031600065995
31409,0.0,1024,certified_fallback,cpu,0.00554141999600688,0.17409392500121612,0.004980403995432425,0.04284543100220617,0.0,,,0.2736560560078942,0.04242196900304407,0.0
31409,0.0,1024,fine_mc,cpu,0.005632469001284335,0.16623417499795323,0.005431136996776331,0.047884145998978056,0.0,0.0,0.002971127993077971,0.2282902069928241,,
31409,0.15,256,fine_mc,cpu,0.007160223998653237,0.03561286599870073,0.0010825979989022017,0.0074396420022821985,0.0,0.0,0.0007282759979716502,0.052139721999992616,,
31409,0.15,256,empirical_selective,cpu,0.007160223998653237,0.03561286599870073,0.0010825979989022017,0.007814117998350412,0.0,,,0.06263318600394996,0.008953743999882136,0.001893520005978644
31409,0.15,256,certified_fallback,cpu,0.007160223998653237,0.03561286599870073,0.0010825979989022017,0.008705526997800916,0.0,,,0.06236298300063936,0.008953743999882136,0.0
31409,0.15,256,fine_mc,cpu,0.006591343000764027,0.030255350000516046,0.0010005139993154444,0.00872039700334426,0.0,0.0,0.0008612009987700731,0.048075077997054905,,
31409,0.15,1024,fine_mc,cpu,0.007141864000004716,0.1737109750029049,0.005483218003064394,0.04280639700300526,0.0,0.0,0.004117518998100422,0.23336534200643655,,
31409,0.15,1024,empirical_selective,cpu,0.007141864000004716,0.1737109750029049,0.005483218003064394,0.045109096994565334,0.0,,,0.2859217150034965,0.04699282100045821,0.007378371003142092
31409,0.15,1024,certified_fallback,cpu,0.007141864000004716,0.1737109750029049,0.005483218003064394,0.045600146004289854,0.0,,,0.2822174460088718,0.04699282100045821,0.0
31409,0.15,1024,fine_mc,cpu,0.00708240999665577,0.17749550200096564,0.004221367002173793,0.04438446799758822,0.0,0.0,0.0031158139972831123,0.23645050899358466,,
31409,1.0,256,fine_mc,cpu,0.009518879000097513,0.054708669005776756,0.0014737120000063442,0.00743588699697284,0.0,0.0,0.0007752059973427095,0.07399840399739332,,
31409,1.0,256,empirical_selective,cpu,0.009518879000097513,0.054708669005776756,0.0014737120000063442,0.00876312299806159,0.0,,,0.08482390999415657,0.00812035799754085,0.00215311799547635
31409,1.0,256,certified_fallback,cpu,0.009518879000097513,0.054708669005776756,0.0014737120000063442,0.00955550700018648,0.0,,,0.08419648500421317,0.00812035799754085,0.0
31409,1.0,256,fine_mc,cpu,0.008639119005238172,0.044060459003958385,0.001912985993840266,0.009850643000390846,0.0,0.0,0.0008784989986452274,0.06547397599933902,,
31409,1.0,1024,fine_mc,cpu,0.010163324004679453,0.2633859669949743,0.005724845002987422,0.04624426800000947,0.0,0.0,0.003075508000620175,0.3286972630012315,,
31409,1.0,1024,empirical_selective,cpu,0.010163324004679453,0.2633859669949743,0.005724845002987422,0.04975847499736119,0.0,,,0.3747627140037366,0.040029387004324235,0.0055973650014493614
31409,1.0,1024,certified_fallback,cpu,0.010163324004679453,0.2633859669949743,0.005724845002987422,0.04937286199856317,0.0,,,0.3724718550001853,0.040029387004324235,0.0
31409,1.0,1024,fine_mc,cpu,0.008720108002307825,0.26504785300494405,0.004821760994673241,0.04697937400487717,0.0,0.0,0.0031276299996534362,0.32886771400808357,,
31490,0.0,256,fine_mc,cpu,0.005893196001125034,0.028032350004650652,0.0011578530029510148,0.007791926997015253,0.0,0.0,0.001045293996867258,0.04400953099684557,,
31490,0.0,256,empirical_selective,cpu,0.005893196001125034,0.028032350004650652,0.0011578530029510148,0.011230008996790275,0.0,,,0.05835382499935804,0.010673695003788453,0.0012778109958162531
31490,0.0,256,certified_fallback,cpu,0.005893196001125034,0.028032350004650652,0.0011578530029510148,0.009516441998130176,0.0,,,0.056446862006851006,0.010673695003788453,0.0
31490,0.0,256,fine_mc,cpu,0.0056312699962290935,0.030865167995216325,0.0018401639972580597,0.01190819899784401,0.0,0.0,0.0012723460022243671,0.05718408200482372,,
31490,0.0,1024,fine_mc,cpu,0.008474829999613576,0.15046911899844417,0.004890566997346468,0.04109910900297109,0.0,0.0,0.0029346529991016723,0.20801839500200003,,
31490,0.0,1024,empirical_selective,cpu,0.008474829999613576,0.15046911899844417,0.004890566997346468,0.0408804729959229,0.0,,,0.25652518699644133,0.04679654999927152,0.004863531001319643
31490,0.0,1024,certified_fallback,cpu,0.008474829999613576,0.15046911899844417,0.004890566997346468,0.037276572998962365,0.0,,,0.2514413369935937,0.04679654999927152,0.0
31490,0.0,1024,fine_mc,cpu,0.0056006049999268726,0.17162452300544828,0.0076703270024154335,0.04915882799832616,0.0,0.0,0.0036848219970124774,0.2378668469900731,,
