origin,N,estimate,clipped_for_scoring,variance_estimate,correction_variance,interval,interval_type,n0,n1,pilot_c0,pilot_c1,pilot_v0,pilot_v1,budget_seconds,estimator_seconds,allocation_and_estimator_seconds,allocation_stream,cheap_stream,correction_stream
31409,256,0.0,0.0,0.0,0.0,"[-0.5071832785507389, 0.5071832785507389]","Hoeffding union 95%, untruncated",78,76,0.0003212214843415495,0.00035289360937440506,0.0,0.0,0.052139721999992616,0.0424495429979288,0.06539825099753216,266,276,286
31409,1024,0.0,0.0,0.0,0.0,"[-0.2322620860380506, 0.2322620860380506]","Hoeffding union 95%, untruncated",377,360,0.00030107979694093956,0.00033198726566752157,0.0,0.0,0.23336534200643655,0.15115245599736227,0.17274990899750264,1034,1044,1054
31490,256,0.027777777777777776,0.027777777777777776,0.0003803686315423403,0.027386541471048503,"[-0.49318099249805714, 0.5487365480536127]","Hoeffding union 95%, untruncated",74,72,0.0003528194063164847,0.000389256484481848,0.0,0.0,0.054237665004620794,0.05505992899998091,0.08046262900461443,266,276,286
31490,1024,0.007352941176470588,0.007352941176470588,1.0749448354235567e-05,0.007309624880880186,"[-0.3495183303078875, 0.3642242126608286]","Hoeffding union 95%, untruncated",37,680,0.000320989531246596,0.0003755702656462745,0.0,0.015625,0.26750872599950526,0.18462364099832484,0.20918645700294292,1034,1044,1054
