origin,N,estimate,clipped_for_scoring,variance_estimate,correction_variance,interval,interval_type,n0,n1,pilot_c0,pilot_c1,pilot_v0,pilot_v1,budget_seconds,estimator_seconds,allocation_and_estimator_seconds,allocation_stream,cheap_stream,correction_stream
31409,256,0.0,0.0,0.0,0.0,"[-0.5864771886058201, 0.5864771886058201]","Hoeffding union 95%, untruncated",58,57,0.0003032533568330109,0.00035072973696514964,0.0,0.0,0.037850162014365196,0.037612201645970345,0.06089097633957863,266,276,286
31409,1024,0.0,0.0,0.0,0.0,"[-0.2017552503269498, 0.2017552503269498]","Hoeffding union 95%, untruncated",502,476,0.00022390138474293053,0.00025034582358784974,0.0,0.0,0.23177853599190712,0.14874345995485783,0.16534118354320526,1034,1044,1054
31490,256,0.0273972602739726,0.0273972602739726,0.0003700923667146223,0.027016742770167426,"[-0.49001263791422056, 0.5448071584621658]","Hoeffding union 95%, untruncated",75,73,0.000240325927734375,0.00026697435532696545,0.0,0.0,0.0379362478852272,0.032655758783221245,0.050209300592541695,266,276,286
31490,1024,0.006837606837606838,0.006837606837606838,1.1628174606748549e-05,0.006802482144947901,"[-0.3622616614551218, 0.3759368751303354]","Hoeffding union 95%, untruncated",36,585,0.00022165905102156103,0.00024848454631865025,0.0,0.015625,0.1536896526813507,0.13164425641298294,0.1484252866357565,1034,1044,1054
31571,256,0.1111111111111111,0.1111111111111111,0.001007810531620055,0.09977324263038546,"[-0.44808786334540956, 0.6703100855676318]","Hoeffding union 95%, untruncated",32,99,0.00023489457089453936,0.0002614603145048022,0.0,0.14459325396825398,0.03358658403158188,0.03080921620130539,0.048050085082650185,266,276,286
31571,1024,0.151618398637138,0.151618398637138,0.00021950556285298277,0.1288497653947009,"[-0.22824197675225621, 0.5314787740265322]","Hoeffding union 95%, untruncated",33,587,0.00021783102420158684,0.0002444051206111908,0.0,0.1644345238095238,0.15096517093479633,0.13892977871000767,0.1550496518611908,1034,1044,1054
31652,256,0.0,0.0,0.0,0.0,"[-0.5061191378846797, 0.5061191378846797]","Hoeffding union 95%, untruncated",79,76,0.0002119244309142232,0.0002370912698097527,0.0,0.0,0.035062387585639954,0.03078063391149044,0.0464431531727314,266,276,286
31652,1024,0.0,0.0,0.0,0.0,"[-0.24375172682682578, 0.24375172682682578]","Hoeffding union 95%, untruncated",342,327,0.00023033758043311536,0.00025484577054157853,0.0,0.0,0.16227584704756737,0.1060025691986084,0.12282264605164528,1034,1044,1054
31733,256,0.0,0.0,0.0,0.0,"[-0.5061191378846797, 0.5061191378846797]","Hoeffding union 95%, untruncated",79,76,0.00022302963770926,0.00024767054128460586,0.0,0.0,0.03663252107799053,0.0297858789563179,0.04609387367963791,266,276,286
31733,1024,0.0,0.0,0.0,0.0,"[-0.2432689615617366, 0.2432689615617366]","Hoeffding union 95%, untruncated",344,328,0.00022201513638719916,0.0002477167290635407,0.0,0.0,0.1578668560832739,0.10663626529276371,0.12297984771430492,1034,1044,1054
