origin,N,estimate,clipped_for_scoring,variance_estimate,correction_variance,interval,interval_type,n0,n1,pilot_c0,pilot_c1,pilot_v0,pilot_v1,budget_seconds,estimator_seconds,allocation_and_estimator_seconds,allocation_stream,cheap_stream,correction_stream
31409,256,0.0,0.0,0.0,0.0,"[-0.5185608849546344, 0.5185608849546344]","Hoeffding union 95%, untruncated",74,73,0.00023841415531933308,0.0002612357202451676,0.0,0.0,0.036942729726433754,0.029460178688168526,0.046613479033112526,266,276,286
31409,1024,0.0,0.0,0.0,0.0,"[-0.2002597135048355, 0.2002597135048355]","Hoeffding union 95%, untruncated",512,482,0.00020601405412890017,0.0002342641237191856,0.0,0.0,0.21866069920361042,0.17461827211081982,0.19011089019477367,1034,1044,1054
31490,256,0.02912621359223301,0.02912621359223301,0.00027723409092169244,0.02855511136493432,"[-0.40435021744410315, 0.46260264462856915]","Hoeffding union 95%, untruncated",109,103,0.00024729251163080335,0.0002839317894540727,0.0,0.0,0.05646461620926857,0.04346402548253536,0.06210174411535263,266,276,286
31490,1024,0.008012820512820512,0.008012820512820512,1.2758611910513381e-05,0.00796137383216035,"[-0.3538431641572909, 0.36986880518293186]","Hoeffding union 95%, untruncated",37,624,0.00019239616813138127,0.00021660263882949948,0.0,0.015625,0.14237342588603497,0.13736720196902752,0.15200264379382133,1034,1044,1054
31571,256,0.11949685534591195,0.11949685534591195,0.0006659326386604439,0.10588328954701058,"[-0.3769454109955116, 0.6159391216873354]","Hoeffding union 95%, untruncated",32,159,0.00019250306650064886,0.0002173279644921422,0.0,0.14459325396825398,0.04094220884144306,0.041616739705204964,0.055999141186475754,266,276,286
31571,1024,0.13953488372093023,0.13953488372093023,0.00013310964517285664,0.12019800959108955,"[-0.21283497633690943, 0.4919047437787699]","Hoeffding union 95%, untruncated",34,903,0.00020440114894881845,0.00023380291531793773,0.0,0.1644345238095238,0.21815357729792595,0.18105513975024223,0.196558004245162,1034,1044,1054
31652,256,0.0,0.0,0.0,0.0,"[-0.4807983058685593, 0.4807983058685593]","Hoeffding union 95%, untruncated",88,84,0.00022534577874466777,0.00026282010367140174,0.0,0.0,0.04194898530840874,0.039497025310993195,0.056795667856931686,266,276,286
31652,1024,0.0,0.0,0.0,0.0,"[-0.25132070373897586, 0.25132070373897586]","Hoeffding union 95%, untruncated",323,307,0.0002136327384505421,0.0002396235940977931,0.0,0.0,0.14288721978664398,0.09387523867189884,0.10968858748674393,1034,1044,1054
31733,256,0.0,0.0,0.0,0.0,"[-0.5508878864299476, 0.5508878864299476]","Hoeffding union 95%, untruncated",67,64,0.00025726520107127726,0.00029567789169959724,0.0,0.0,0.0363907627761364,0.02881300076842308,0.04823053814470768,266,276,286
31733,1024,0.0,0.0,0.0,0.0,"[-0.25134274728488104, 0.25134274728488104]","Hoeffding union 95%, untruncated",325,306,0.00021308602299541235,0.00024256901815533638,0.0,0.0,0.1437005065381527,0.08810210973024368,0.10410886816680431,1034,1044,1054
