origin,retention,N,method,device,conditioning_setup_seconds,sampling_seconds,residual_gather_seconds,fine_seconds,device_seconds,transfer_seconds,event_seconds,total_seconds,enclosure_seconds,compaction_seconds
31409,0.0,256,fine_mc,cuda,0.006243713200092316,0.048369139432907104,0.001418350264430046,0.0019373223185539246,0.0018990399837493896,0.004576241597533226,0.00042683444917201996,0.06373907439410686,,
31409,0.0,256,empirical_selective,cuda,0.006243713200092316,0.048369139432907104,0.001418350264430046,0.0012653917074203491,,0.0056461915373802185,,0.07282317616045475,0.00573590025305748,0.0029636435210704803
31409,0.0,256,certified_fallback,cuda,0.006243713200092316,0.048369139432907104,0.001418350264430046,0.0011273063719272614,,0.005101148039102554,,0.06896026991307735,0.00573590025305748,0.0
31409,0.0,256,fine_mc,cpu,0.004203639924526215,0.04387090913951397,0.0024284571409225464,0.01913747377693653,0.0,0.0,0.0004901345819234848,0.07054117508232594,,
31409,0.0,1024,fine_mc,cuda,0.004172807559370995,0.19219775311648846,0.003651905804872513,0.00231078639626503,0.002277152061462402,0.01008349098265171,0.0014517176896333694,0.21450158208608627,,
31409,0.0,1024,empirical_selective,cuda,0.004172807559370995,0.19219775311648846,0.003651905804872513,0.002324337139725685,,0.012289740145206451,,0.24509362503886223,0.022382106631994247,0.005857592448592186
31409,0.0,1024,certified_fallback,cuda,0.004172807559370995,0.19219775311648846,0.003651905804872513,0.002296987920999527,,0.005563447251915932,,0.2323729768395424,0.022382106631994247,0.0
31409,0.0,1024,fine_mc,cpu,0.004343949258327484,0.1819414123892784,0.002912161871790886,0.044862763956189156,0.0,0.0,0.0013424884527921677,0.2358441799879074,,
31409,0.15,256,fine_mc,cuda,0.005632340908050537,0.026207633316516876,0.0013131126761436462,0.0010165665298700333,0.0009784640073776244,0.001752309501171112,0.00045081228017807007,0.036942729726433754,,
31409,0.15,256,empirical_selective,cuda,0.005632340908050537,0.026207633316516876,0.0013131126761436462,0.0010511688888072968,,0.001607641577720642,,0.04329136945307255,0.005681026726961136,0.0007818657904863358
31409,0.15,256,certified_fallback,cuda,0.005632340908050537,0.026207633316516876,0.0013131126761436462,0.0009800363332033157,,0.0018796548247337341,,0.04254737310111523,0.005681026726961136,0.0
31409,0.15,256,fine_mc,cpu,0.005240956321358681,0.03630393370985985,0.0016021225601434708,0.01422823779284954,0.0,0.0,0.0003928039222955704,0.05811381712555885,,
31409,0.15,1024,fine_mc,cuda,0.004684442654252052,0.19643283262848854,0.0037012454122304916,0.0022882651537656784,0.0022536959648132323,0.00945291668176651,0.0014991629868745804,0.21866069920361042,,
31409,0.15,1024,empirical_selective,cuda,0.004684442654252052,0.19643283262848854,0.0037012454122304916,0.0023526065051555634,,0.009590504691004753,,0.24697887897491455,0.024396702647209167,0.0034583453088998795
31409,0.15,1024,certified_fallback,cuda,0.004684442654252052,0.19643283262848854,0.0037012454122304916,0.00228896364569664,,0.0056637730449438095,,0.2393177580088377,0.024396702647209167,0.0
31409,0.15,1024,fine_mc,cpu,0.005060933530330658,0.19542725756764412,0.0028004609048366547,0.04209984466433525,0.0,0.0,0.001442350447177887,0.2472509928047657,,
31409,1.0,256,fine_mc,cuda,0.006528323516249657,0.03795885480940342,0.0008525550365447998,0.0012355688959360123,0.001195296049118042,0.0018615033477544785,0.0004774145781993866,0.04950267635285854,,
31409,1.0,256,empirical_selective,cuda,0.006528323516249657,0.03795885480940342,0.0008525550365447998,0.0012204479426145554,,0.005253572016954422,,0.0592108853161335,0.005274299532175064,0.001178208738565445
31409,1.0,256,certified_fallback,cuda,0.006528323516249657,0.03795885480940342,0.0008525550365447998,0.0010439865291118622,,0.00508977472782135,,0.05757644400000572,0.005274299532175064,0.0
31409,1.0,256,fine_mc,cpu,0.005764611065387726,0.06025107204914093,0.0006296057254076004,0.007438411936163902,0.0,0.0,0.00031807273626327515,0.07473613508045673,,
31409,1.0,1024,fine_mc,cuda,0.005851302295923233,0.2781992871314287,0.0027903690934181213,0.002296857535839081,0.002262176036834717,0.005647197365760803,0.001492111012339592,0.29683216474950314,,
31409,1.0,1024,empirical_selective,cuda,0.005851302295923233,0.2781992871314287,0.0027903690934181213,0.002295408397912979,,0.005588758736848831,,0.32061486318707466,0.020720094442367554,0.0031116120517253876
31409,1.0,1024,certified_fallback,cuda,0.005851302295923233,0.2781992871314287,0.0027903690934181213,0.002305915579199791,,0.010052889585494995,,0.32222153432667255,0.020720094442367554,0.0
31409,1.0,1024,fine_mc,cpu,0.005978461354970932,0.24932314455509186,0.0025708992034196854,0.028229888528585434,0.0,0.0,0.0013477802276611328,0.28789956867694855,,
31490,0.0,256,fine_mc,cuda,0.004650061950087547,0.024282049387693405,0.0014411695301532745,0.0012615285813808441,0.001210271954536438,0.0018398817628622055,0.0004934519529342651,0.034625085070729256,,
31490,0.0,256,empirical_selective,cuda,0.004650061950087547,0.024282049387693405,0.0014411695301532745,0.0009692665189504623,,0.0015723500400781631,,0.04014962166547775,0.005536478012800217,0.0007769856601953506
31490,0.0,256,certified_fallback,cuda,0.004650061950087547,0.024282049387693405,0.0014411695301532745,0.0009154882282018661,,0.005237806588411331,,0.042906900867819786,0.005536478012800217,0.0
31490,0.0,256,fine_mc,cpu,0.004249280318617821,0.02899218164384365,0.0009119845926761627,0.01127578690648079,0.0,0.0,0.00038273073732852936,0.04948241263628006,,
31490,0.0,1024,fine_mc,cuda,0.005418797954916954,0.10310782119631767,0.0027767401188611984,0.0022825952619314194,0.0022519679069519043,0.009488794952630997,0.0015119388699531555,0.12519480474293232,,
31490,0.0,1024,empirical_selective,cuda,0.005418797954916954,0.10310782119631767,0.0027767401188611984,0.002293156459927559,,0.00989467091858387,,0.14943036809563637,0.02036241441965103,0.0034334342926740646
31490,0.0,1024,certified_fallback,cuda,0.005418797954916954,0.10310782119631767,0.0027767401188611984,0.0022863559424877167,,0.005677441135048866,,0.1417991053313017,0.02036241441965103,0.0
31490,0.0,1024,fine_mc,cpu,0.0043670907616615295,0.11311811208724976,0.002742478623986244,0.03659888543188572,0.0,0.0,0.001961043104529381,0.1592719443142414,,
31490,0.15,256,fine_mc,cuda,0.00568930059671402,0.04615192301571369,0.0011485777795314789,0.001027904450893402,0.0009919040203094482,0.0013932697474956512,0.0004575829952955246,0.05646461620926857,,
31490,0.15,256,empirical_selective,cuda,0.00568930059671402,0.04615192301571369,0.0011485777795314789,0.0009795986115932465,,0.0012277178466320038,,0.06796362064778805,0.005265388637781143,0.0007988270372152328
31490,0.15,256,certified_fallback,cuda,0.00568930059671402,0.04615192301571369,0.0011485777795314789,0.0009049475193023682,,0.0013539493083953857,,0.06139150448143482,0.005265388637781143,0.0
31490,0.15,256,fine_mc,cpu,0.004855204373598099,0.024743234738707542,0.0008057169616222382,0.006892098113894463,0.0,0.0,0.00031464360654354095,0.03792503848671913,,
31490,0.15,1024,fine_mc,cuda,0.0062973517924547195,0.12491269409656525,0.0025564897805452347,0.002275243401527405,0.002245824098587036,0.004124600440263748,0.0015268586575984955,0.14237342588603497,,
31490,0.15,1024,empirical_selective,cuda,0.0062973517924547195,0.12491269409656525,0.0025564897805452347,0.00230402871966362,,0.005674688145518303,,0.17275366559624672,0.02572038769721985,0.0031074807047843933
31490,0.15,1024,certified_fallback,cuda,0.0062973517924547195,0.12491269409656525,0.0025564897805452347,0.0023028869181871414,,0.005628768354654312,,0.16950887441635132,0.02572038769721985,0.0
31490,0.15,1024,fine_mc,cpu,0.004941703751683235,0.18003842048346996,0.002816108986735344,0.03202015534043312,0.0,0.0,0.0013892799615859985,0.22168389335274696,,
31490,1.0,256,fine_mc,cuda,0.007139978930354118,0.0012238994240760803,0.0006856638938188553,0.000933205708861351,0.000900991976261139,0.0024414677172899246,0.0004792138934135437,0.013517854735255241,,
31490,1.0,256,empirical_selective,cuda,0.007139978930354118,0.0012238994240760803,0.0006856638938188553,0.0009840857237577438,,0.0015801414847373962,,0.01840537041425705,0.005002817139029503,0.0007644630968570709
31490,1.0,256,certified_fallback,cuda,0.007139978930354118,0.0012238994240760803,0.0006856638938188553,0.0009212959557771683,,0.001530589535832405,,0.017455875873565674,0.005002817139029503,0.0
31490,1.0,256,fine_mc,cpu,0.0059470199048519135,0.00045502185821533203,0.0006005335599184036,0.006929898634552956,0.0,0.0,0.00033470429480075836,0.014683501794934273,,
31490,1.0,1024,fine_mc,cuda,0.0059651825577020645,0.0018182918429374695,0.002503536641597748,0.0023184362798929214,0.002284127950668335,0.008159376680850983,0.002096584066748619,0.023604825139045715,,
31490,1.0,1024,empirical_selective,cuda,0.0059651825577020645,0.0018182918429374695,0.002503536641597748,0.0023491960018873215,,0.005616659298539162,,0.047381842508912086,0.02394852787256241,0.0027661696076393127
31490,1.0,1024,certified_fallback,cuda,0.0059651825577020645,0.0018182918429374695,0.002503536641597748,0.0023200828582048416,,0.005708029493689537,,0.044917384162545204,0.02394852787256241,0.0
31490,1.0,1024,fine_mc,cpu,0.006320351734757423,0.0016870852559804916,0.0028572995215654373,0.030600184574723244,0.0,0.0,0.0013856906443834305,0.043474363163113594,,
31571,0.0,256,fine_mc,cuda,0.005622578784823418,0.023045701906085014,0.0013561807572841644,0.0010377466678619385,0.0009926720261573792,0.0017034318298101425,0.00045281462371349335,0.03387933783233166,,
31571,0.0,256,empirical_selective,cuda,0.005622578784823418,0.023045701906085014,0.0013561807572841644,0.0009742286056280136,,0.001596260815858841,,0.03967789560556412,0.005295904353260994,0.0007351171225309372
31571,0.0,256,certified_fallback,cuda,0.005622578784823418,0.023045701906085014,0.0013561807572841644,0.0009031482040882111,,0.001749243587255478,,0.03889731131494045,0.005295904353260994,0.0
31571,0.0,256,fine_mc,cpu,0.004444541409611702,0.027704894542694092,0.0007084459066390991,0.012466497719287872,0.0,0.0,0.000331362709403038,0.0460931658744812,,
31571,0.0,1024,fine_mc,cuda,0.004269380122423172,0.1151815876364708,0.0026764702051877975,0.002300696447491646,0.0022664639949798583,0.009838828817009926,0.001510830596089363,0.13664397597312927,,
31571,0.0,1024,empirical_selective,cuda,0.004269380122423172,0.1151815876364708,0.0026764702051877975,0.0023085754364728928,,0.010226963087916374,,0.16218031384050846,0.022253435105085373,0.003041403368115425
31571,0.0,1024,certified_fallback,cuda,0.004269380122423172,0.1151815876364708,0.0026764702051877975,0.00229499489068985,,0.005585290491580963,,0.15446999855339527,0.022253435105085373,0.0
31571,0.0,1024,fine_mc,cpu,0.004398340359330177,0.17555165849626064,0.0031683631241321564,0.0426433477550745,0.0,0.0,0.0015807319432497025,0.22800160385668278,,
31571,0.15,256,fine_mc,cuda,0.006518436595797539,0.02800060622394085,0.0020234640687704086,0.0011903587728738785,0.001139423966407776,0.0019022263586521149,0.0004651043564081192,0.04094220884144306,,
31571,0.15,256,empirical_selective,cuda,0.006518436595797539,0.02800060622394085,0.0020234640687704086,0.0011042580008506775,,0.0016680844128131866,,0.04706590063869953,0.0056857094168663025,0.0009417757391929626
31571,0.15,256,certified_fallback,cuda,0.006518436595797539,0.02800060622394085,0.0020234640687704086,0.0009707659482955933,,0.0017963405698537827,,0.046000197529792786,0.0056857094168663025,0.0
31571,0.15,256,fine_mc,cpu,0.005277495831251144,0.03060397319495678,0.0009552482515573502,0.007161209359765053,0.0,0.0,0.0003357119858264923,0.044767044484615326,,
31571,0.15,1024,fine_mc,cuda,0.004874616861343384,0.19657556526362896,0.002524787560105324,0.002291327342391014,0.0022602560520172117,0.009690027683973312,0.00147257000207901,0.21815357729792595,,
31571,0.15,1024,empirical_selective,cuda,0.004874616861343384,0.19657556526362896,0.002524787560105324,0.0022929850965738297,,0.010266521945595741,,0.2437886968255043,0.02130739763379097,0.003677835687994957
31571,0.15,1024,certified_fallback,cuda,0.004874616861343384,0.19657556526362896,0.002524787560105324,0.0022910479456186295,,0.0055464692413806915,,0.23549745604395866,0.02130739763379097,0.0
31571,0.15,1024,fine_mc,cpu,0.0052872877568006516,0.18624442256987095,0.0027605313807725906,0.04098817706108093,0.0,0.0,0.0018260814249515533,0.23768135160207748,,
31571,1.0,256,fine_mc,cuda,0.007068458944559097,0.0006841644644737244,0.0009051840752363205,0.0009006056934595108,0.0008676159977912903,0.004504172131419182,0.00040030479431152344,0.015024993568658829,,
31571,1.0,256,empirical_selective,cuda,0.007068458944559097,0.0006841644644737244,0.0009051840752363205,0.0010545048862695694,,0.004779456183314323,,0.024133849889039993,0.006422344595193863,0.002172384411096573
31571,1.0,256,certified_fallback,cuda,0.007068458944559097,0.0006841644644737244,0.0009051840752363205,0.000967876985669136,,0.004503192380070686,,0.021481817588210106,0.006422344595193863,0.0
31571,1.0,256,fine_mc,cpu,0.00604243203997612,0.000379905104637146,0.0005840826779603958,0.011375246569514275,0.0,0.0,0.00036407262086868286,0.0192105732858181,,
