origin,retention,hidden_count,rmse,near_threshold_rmse,coverage_50,coverage_80,coverage_95
31409,0.0,3809,1.214236020927774,2.3863176797482484,0.46075085324232085,0.7290627461275926,0.9041743239695458
31409,0.15,3237,1.2190057307999658,2.202710894812507,0.43342601173926476,0.714859437751004,0.9023787457522398
31409,1.0,0,,,,,
31490,0.0,3900,1.1854904778156097,1.2425143854182021,0.49948717948717947,0.7766666666666666,0.9094871794871795
31490,0.15,3312,0.9114801257744706,0.9323548661207396,0.6280193236714976,0.8783212560386473,0.9568236714975845
31490,1.0,0,,,,,
31571,0.0,3900,0.9622113586310311,0.8013057547895773,0.617948717948718,0.882051282051282,0.9592307692307692
31571,0.15,3312,0.8515199497743031,0.8407156048519051,0.6373792270531401,0.9064009661835749,0.966183574879227
31571,1.0,0,,,,,
31652,0.0,3900,1.4132775012751884,3.632612881861774,0.34205128205128205,0.6387179487179487,0.8664102564102564
31652,0.15,3312,1.2021063871114877,3.683270001857098,0.3710748792270531,0.7189009661835749,0.9217995169082126
31652,1.0,0,,,,,
31733,0.0,3900,1.2517946156698676,4.591701159795397,0.4876923076923077,0.7512820512820513,0.8848717948717949
31733,0.15,3312,1.1020351730332716,4.117023097751044,0.508756038647343,0.7732487922705314,0.9245169082125604
31733,1.0,0,,,,,
31815,0.0,3900,1.2877639075938656,1.7192669170094208,0.531025641025641,0.7743589743589744,0.9012820512820513
31815,0.15,3312,1.0593724716061421,1.7871673999008453,0.6277173913043478,0.8448067632850241,0.927536231884058
31815,1.0,0,,,,,
31896,0.0,3900,1.4531888007587168,1.3204781938483463,0.4176923076923077,0.68,0.8561538461538462
31896,0.15,3312,1.1767881298211074,0.9394138245619911,0.46557971014492755,0.7741545893719807,0.9251207729468599
31896,1.0,0,,,,,
31977,0.0,3900,1.2116443019291034,3.5348339834645115,0.41512820512820514,0.7348717948717949,0.9143589743589744
31977,0.15,3312,1.145868700236074,3.4676368081112545,0.42934782608695654,0.7391304347826086,0.9133454106280193
31977,1.0,0,,,,,
32058,0.0,3900,1.6891852479141303,2.2001991055040064,0.32384615384615384,0.5553846153846154,0.7551282051282051
32058,0.15,3312,1.3308922907204679,2.2804708004323015,0.3269927536231884,0.6367753623188406,0.8734903381642513
32058,1.0,0,,,,,
32139,0.0,3900,1.1198665728621817,1.7797158556862673,0.5876923076923077,0.8387179487179487,0.916923076923077
32139,0.15,3312,1.0817647548840188,1.7128600339828126,0.5842391304347826,0.831219806763285,0.918780193236715
32139,1.0,0,,,,,
32221,0.0,3900,1.3840351605090213,,0.34,0.6466666666666666,0.8758974358974358
32221,0.15,3312,1.2924553953680684,,0.3423913043478261,0.6669685990338164,0.8919082125603864
32221,1.0,0,,,,,
32302,0.0,3900,1.2070702390661459,3.9399566934001604,0.43948717948717947,0.7156410256410256,0.9143589743589744
32302,0.15,3312,1.1995947832266896,3.913761541479174,0.42240338164251207,0.726147342995169,0.9079106280193237
32302,1.0,0,,,,,
32383,0.0,3900,1.2261274535217386,1.1646743284547203,0.4541025641025641,0.7607692307692308,0.9035897435897436
32383,0.15,3312,1.0384889951631264,1.113354826507643,0.5362318840579711,0.8134057971014492,0.918780193236715
32383,1.0,0,,,,,
32464,0.0,3900,1.2247053375641457,1.0884064487892438,0.4728205128205128,0.7643589743589744,0.9056410256410257
32464,0.15,3312,1.1261816752747602,1.6268214768107125,0.5072463768115942,0.7868357487922706,0.9205917874396136
32464,1.0,0,,,,,
32545,0.0,3900,1.2267649904931437,3.4366654573759003,0.3930769230769231,0.7069230769230769,0.9156410256410257
32545,0.15,3312,1.177020079550322,3.020416020233415,0.3910024154589372,0.7101449275362319,0.9202898550724637
32545,1.0,0,,,,,
32627,0.0,3900,1.1687026399929932,1.0630759878692781,0.5143589743589744,0.7730769230769231,0.9076923076923077
32627,0.15,3312,0.9459309405458296,0.8651343434405724,0.6105072463768116,0.8617149758454107,0.9480676328502415
32627,1.0,0,,,,,
32708,0.0,3900,0.9233592341547175,1.3384742932996914,0.66,0.8858974358974359,0.9607692307692308
32708,0.15,3312,0.8332138005095779,1.2975788998588862,0.7131642512077294,0.917572463768116,0.9634661835748792
32708,1.0,0,,,,,
32789,0.0,3900,1.442449087548667,2.6231320079677003,0.32153846153846155,0.6025641025641025,0.821025641025641
32789,0.15,3312,1.3452893660820016,2.838028614132453,0.338768115942029,0.6186594202898551,0.8556763285024155
32789,1.0,0,,,,,
32870,0.0,3900,1.2864936070888642,2.8486831529991745,0.40794871794871795,0.7153846153846154,0.8910256410256411
32870,0.15,3312,1.1929083872241362,2.645875611753778,0.43870772946859904,0.7246376811594203,0.9042874396135265
32870,1.0,0,,,,,
32952,0.0,3900,1.2292217597501223,1.6135069777602666,0.5376923076923077,0.7823076923076923,0.8833333333333333
32952,0.15,3312,0.9944451989982713,1.447425980895759,0.6219806763285024,0.8439009661835749,0.9227053140096618
32952,1.0,0,,,,,
33033,0.0,3900,0.9208283282384014,0.8408932451755101,0.6466666666666666,0.8746153846153846,0.9605128205128205
33033,0.15,3312,0.8183574298830386,0.7599199772726314,0.6618357487922706,0.9115338164251208,0.9737318840579711
33033,1.0,0,,,,,
33114,0.0,3900,1.5654474033121,4.324639798105331,0.2725641025641026,0.5535897435897436,0.8061538461538461
33114,0.15,3312,1.269762543320493,4.381982522226865,0.3680555555555556,0.6992753623188406,0.9030797101449275
33114,1.0,0,,,,,
33195,0.0,3900,1.3496864952423469,1.4758932686064863,0.4574358974358974,0.7194871794871794,0.87
33195,0.15,3312,1.219932164247739,1.3712144502836074,0.518719806763285,0.7666062801932367,0.8922101449275363
33195,1.0,0,,,,,
